gene_id,MFL01,MFL02,MFL03,MFL04,MFN01,MFN02,MFN03,MFN04
ENSG00000223972.5,0,0,0,0,0,1,0,0
ENSG00000227232.5,15,20,12,11,15,13,18,10
ENSG00000278267.1,0,3,4,3,5,5,2,2
ENSG00000243485.5,0,1,0,0,0,0,0,1
ENSG00000237613.2,0,0,0,0,0,0,1,0
ENSG00000186092.7,1,0,0,0,0,0,0,0
ENSG00000238009.6,0,0,0,1,0,0,0,0
ENSG00000233750.3,0,0,0,0,0,0,0,0
ENSG00000268903.1,6,5,3,6,5,8,8,6
ENSG00000269981.1,0,3,2,1,9,2,2,0
ENSG00000241860.7,3,6,1,5,1,4,7,3
ENSG00000279457.4,28,25,15,26,13,13,17,13
ENSG00000273874.1,0,1,0,1,0,0,0,1
ENSG00000228463.10,0,0,0,0,0,1,0,0
ENSG00000286448.1,0,0,0,0,1,0,0,0
ENSG00000236679.2,0,1,0,0,0,0,0,0
ENSG00000237094.12,2,1,2,3,2,3,1,2
ENSG00000269732.1,1,0,0,0,0,0,0,0
ENSG00000233653.3,0,1,0,0,0,0,0,0
ENSG00000250575.1,0,0,0,0,1,0,0,0
ENSG00000230021.10,1,2,0,1,0,0,0,0
ENSG00000225972.1,58,71,31,73,15,21,12,5
ENSG00000225630.1,10001,9384,7640,7956,8211,6967,7274,6265
ENSG00000237973.1,1227,1270,787,1162,401,399,368,352
ENSG00000229344.1,341,342,194,298,67,46,42,42
ENSG00000240409.1,20,37,14,28,2,4,5,3
ENSG00000248527.1,4236,4013,3132,3523,3213,2718,2506,2369
ENSG00000198744.5,175,192,101,170,35,34,17,19
ENSG00000268663.1,0,1,0,0,0,0,0,0
ENSG00000229376.3,2,0,0,0,0,0,1,0
ENSG00000228327.4,33,36,29,29,40,40,37,30
ENSG00000229905.1,0,0,0,0,0,0,1,0
ENSG00000237491.10,18,21,13,19,19,20,17,23
ENSG00000230092.7,2,0,3,0,0,2,0,1
ENSG00000177757.2,5,5,4,11,5,2,3,2
ENSG00000228794.11,191,152,138,164,137,155,145,151
ENSG00000225880.5,4,1,3,2,3,3,9,8
ENSG00000288531.1,0,1,1,0,0,0,0,0
ENSG00000230368.2,1,0,0,0,0,0,1,0
ENSG00000234711.1,1,2,0,1,1,0,0,0
ENSG00000283040.1,0,0,0,0,0,0,0,0
ENSG00000272438.1,1,0,0,1,0,0,0,0
ENSG00000230699.2,0,2,2,0,0,0,2,0
ENSG00000223764.2,2,2,0,3,0,0,0,1
ENSG00000187634.13,0,0,0,2,2,0,1,0
ENSG00000188976.11,2032,1922,1538,1824,1655,1609,1938,1628
ENSG00000187961.15,201,226,139,214,171,162,222,184
ENSG00000187583.11,26,28,13,11,11,12,7,10
ENSG00000187642.9,1,0,0,0,0,0,0,0
ENSG00000272512.1,17,26,19,22,0,0,0,0
ENSG00000188290.11,336,451,247,442,6,8,12,11
ENSG00000187608.10,28384,35866,20009,25881,188,183,199,171
ENSG00000231702.2,2,2,0,1,0,0,0,0
ENSG00000224969.1,1,2,2,2,0,1,1,0
ENSG00000188157.15,8473,8510,5892,7916,4258,3945,4889,4341
ENSG00000217801.11,489,430,365,437,385,377,472,388
ENSG00000273443.1,24,22,18,28,29,14,28,26
ENSG00000237330.3,3,3,3,3,1,2,1,1
ENSG00000131591.18,250,263,174,222,193,148,184,147
ENSG00000285812.1,6,2,7,11,2,1,9,4
ENSG00000272141.1,0,0,0,0,0,0,0,0
ENSG00000205231.1,0,0,0,0,0,0,0,0
ENSG00000162571.14,1,1,1,1,0,0,0,0
ENSG00000186891.14,34,39,26,31,7,2,2,4
ENSG00000186827.11,7,4,2,3,4,1,2,2
ENSG00000078808.19,4189,4370,3016,3998,3097,3132,4228,3085
ENSG00000176022.7,723,681,518,632,604,644,828,617
ENSG00000184163.3,9,8,3,7,6,6,12,4
ENSG00000260179.1,3,1,3,6,8,2,3,1
ENSG00000160087.21,1087,1057,761,924,825,841,1017,799
