gene_id,MFL01,MFL02,MFL03,MFL04,MFPA01,MFPA02,MFPA03,MFPA04
ENSG00000223972.5,0,0,0,0,0,0,0,0
ENSG00000227232.5,15,20,12,11,0,1,2,5
ENSG00000278267.1,0,3,4,3,0,0,0,1
ENSG00000243485.5,0,1,0,0,0,0,0,0
ENSG00000237613.2,0,0,0,0,0,0,0,0
ENSG00000186092.7,1,0,0,0,0,0,0,0
ENSG00000238009.6,0,0,0,1,1,0,0,0
ENSG00000233750.3,0,0,0,0,1,0,2,0
ENSG00000268903.1,6,5,3,6,0,0,0,0
ENSG00000269981.1,0,3,2,1,0,0,0,0
ENSG00000241860.7,3,6,1,5,0,0,0,1
ENSG00000279457.4,28,25,15,26,6,4,5,7
ENSG00000273874.1,0,1,0,1,0,0,0,0
ENSG00000228463.10,0,0,0,0,0,1,1,0
ENSG00000286448.1,0,0,0,0,0,0,2,0
ENSG00000236679.2,0,1,0,0,0,0,0,0
ENSG00000237094.12,2,1,2,3,3,1,0,1
ENSG00000269732.1,1,0,0,0,0,0,0,0
ENSG00000233653.3,0,1,0,0,0,0,0,0
ENSG00000250575.1,0,0,0,0,0,0,0,0
ENSG00000230021.10,1,2,0,1,2,0,1,2
ENSG00000225972.1,58,71,31,73,29,19,36,19
ENSG00000225630.1,10001,9384,7640,7956,7907,6621,8564,8943
ENSG00000237973.1,1227,1270,787,1162,710,632,697,688
ENSG00000229344.1,341,342,194,298,56,52,68,66
ENSG00000240409.1,20,37,14,28,7,8,13,9
ENSG00000248527.1,4236,4013,3132,3523,5518,4775,5918,5848
ENSG00000198744.5,175,192,101,170,73,56,67,63
ENSG00000268663.1,0,1,0,0,0,0,0,0
ENSG00000229376.3,2,0,0,0,1,1,1,0
ENSG00000228327.4,33,36,29,29,7,8,8,16
ENSG00000229905.1,0,0,0,0,0,0,0,0
ENSG00000237491.10,18,21,13,19,4,5,6,5
ENSG00000230092.7,2,0,3,0,1,1,1,1
ENSG00000177757.2,5,5,4,11,1,0,0,0
ENSG00000228794.11,191,152,138,164,187,137,166,195
ENSG00000225880.5,4,1,3,2,3,3,1,1
ENSG00000288531.1,0,1,1,0,0,2,4,3
ENSG00000230368.2,1,0,0,0,1,0,2,0
ENSG00000234711.1,1,2,0,1,0,1,0,1
ENSG00000283040.1,0,0,0,0,0,0,1,0
ENSG00000272438.1,1,0,0,1,2,0,0,0
ENSG00000230699.2,0,2,2,0,0,1,1,0
ENSG00000223764.2,2,2,0,3,0,0,0,1
ENSG00000187634.13,0,0,0,2,4,1,4,6
ENSG00000188976.11,2032,1922,1538,1824,857,893,904,1013
ENSG00000187961.15,201,226,139,214,22,16,34,36
ENSG00000187583.11,26,28,13,11,3,5,9,5
ENSG00000187642.9,1,0,0,0,1,0,0,0
ENSG00000272512.1,17,26,19,22,13,10,9,14
ENSG00000188290.11,336,451,247,442,145,100,176,184
ENSG00000187608.10,28384,35866,20009,25881,149,147,181,173
ENSG00000231702.2,2,2,0,1,0,0,1,1
ENSG00000224969.1,1,2,2,2,0,0,0,0
ENSG00000188157.15,8473,8510,5892,7916,1320,1079,1269,1397
ENSG00000217801.11,489,430,365,437,537,482,529,594
ENSG00000273443.1,24,22,18,28,8,8,9,2
ENSG00000237330.3,3,3,3,3,0,1,0,1
ENSG00000131591.18,250,263,174,222,41,28,32,52
ENSG00000285812.1,6,2,7,11,2,1,4,0
ENSG00000272141.1,0,0,0,0,1,0,0,0
ENSG00000205231.1,0,0,0,0,1,0,1,0
ENSG00000162571.14,1,1,1,1,0,0,1,0
ENSG00000186891.14,34,39,26,31,2,2,1,3
ENSG00000186827.11,7,4,2,3,1,1,1,1
ENSG00000078808.19,4189,4370,3016,3998,2936,2603,3068,3146
ENSG00000176022.7,723,681,518,632,304,225,343,332
ENSG00000184163.3,9,8,3,7,1,0,0,1
ENSG00000260179.1,3,1,3,6,0,3,3,1
ENSG00000160087.21,1087,1057,761,924,372,282,350,423
ENSG00000230415.1,6,5,3,5,2,1,1,0
ENSG00000162572.21,15,25,11,15,1,5,2,8
ENSG00000131584.19,322,330,267,335,77,66,82,78
ENSG00000169972.12,120,155,109,122,81,75,81,69
ENSG00000127054.22,1444,1454,1006,1285,340,296,325,346
ENSG00000240731.1,43,42,40,30,5,1,7,9
ENSG00000224051.7,262,287,189,294,236,211,231,229
ENSG00000169962.5,7,11,8,11,1,4,9,6
ENSG00000107404.21,1154,1052,769,1038,938,817,913,944
ENSG00000162576.17,39,44,33,39,0,2,2,4
ENSG00000175756.14,865,966,713,873,800,649,824,807
ENSG00000223663.2,1,0,0,1,0,0,1,1
ENSG00000221978.13,3763,3706,2935,3249,224,170,308,337
ENSG00000224870.8,294,301,236,283,85,65,93,81
ENSG00000242485.6,839,886,661,749,251,232,250,251
ENSG00000272455.1,24,28,22,20,7,2,9,11
ENSG00000235098.9,0,1,0,1,0,0,0,0
ENSG00000205116.4,0,0,0,0,2,2,3,1
ENSG00000179403.12,1,9,1,5,5,0,0,1
ENSG00000215915.10,0,0,0,1,3,5,11,5
ENSG00000160072.20,491,452,350,412,40,33,46,49
ENSG00000284740.2,2,3,1,3,5,1,2,0
ENSG00000197785.14,469,462,314,421,137,112,144,116
ENSG00000205090.9,4,1,2,2,1,0,2,3
ENSG00000160075.12,1932,1814,1452,1604,2052,1896,2033,2193
ENSG00000215014.5,24,23,7,13,1,6,3,5
ENSG00000274481.1,0,0,0,0,0,0,0,1
ENSG00000228594.4,142,124,111,101,92,84,114,106
ENSG00000286989.1,10,14,14,18,0,0,2,1
ENSG00000272106.1,69,61,45,52,68,59,56,70
ENSG00000197530.13,613,657,509,669,312,280,346,337
ENSG00000189409.14,0,0,0,0,0,0,1,0
ENSG00000248333.9,555,612,451,461,231,204,195,244
ENSG00000272004.1,0,0,0,0,0,0,0,0
ENSG00000189339.12,553,487,404,521,148,125,134,146
ENSG00000269737.2,14,8,7,10,6,5,2,5
ENSG00000215914.4,0,0,0,1,1,0,0,0
ENSG00000008128.23,27,28,23,29,2,5,2,3
ENSG00000268575.1,7,11,9,14,3,4,4,1
ENSG00000227775.3,17,14,16,15,4,4,6,7
ENSG00000215790.8,25,14,23,17,8,5,7,7
ENSG00000008130.15,3680,4031,2796,3402,322,277,342,361
ENSG00000078369.18,10270,9583,8077,9020,7797,7472,7307,8412
ENSG00000231050.2,3,5,2,2,1,2,3,2
ENSG00000169885.10,2,5,2,5,0,0,1,0
ENSG00000178821.13,4,2,0,2,1,0,1,7
