gene_id,MFN01,MFN02,MFN03,MFN04,MFPA01,MFPA02,MFPA03,MFPA04
ENSG00000223972.5,0,1,0,0,0,0,0,0
ENSG00000227232.5,15,13,18,10,0,1,2,5
ENSG00000278267.1,5,5,2,2,0,0,0,1
ENSG00000243485.5,0,0,0,1,0,0,0,0
ENSG00000237613.2,0,0,1,0,0,0,0,0
ENSG00000186092.7,0,0,0,0,0,0,0,0
ENSG00000238009.6,0,0,0,0,1,0,0,0
ENSG00000233750.3,0,0,0,0,1,0,2,0
ENSG00000268903.1,5,8,8,6,0,0,0,0
ENSG00000269981.1,9,2,2,0,0,0,0,0
ENSG00000241860.7,1,4,7,3,0,0,0,1
ENSG00000279457.4,13,13,17,13,6,4,5,7
ENSG00000273874.1,0,0,0,1,0,0,0,0
ENSG00000228463.10,0,1,0,0,0,1,1,0
ENSG00000286448.1,1,0,0,0,0,0,2,0
ENSG00000236679.2,0,0,0,0,0,0,0,0
ENSG00000237094.12,2,3,1,2,3,1,0,1
ENSG00000269732.1,0,0,0,0,0,0,0,0
ENSG00000233653.3,0,0,0,0,0,0,0,0
ENSG00000250575.1,1,0,0,0,0,0,0,0
ENSG00000230021.10,0,0,0,0,2,0,1,2
ENSG00000225972.1,15,21,12,5,29,19,36,19
ENSG00000225630.1,8211,6967,7274,6265,7907,6621,8564,8943
ENSG00000237973.1,401,399,368,352,710,632,697,688
ENSG00000229344.1,67,46,42,42,56,52,68,66
ENSG00000240409.1,2,4,5,3,7,8,13,9
ENSG00000248527.1,3213,2718,2506,2369,5518,4775,5918,5848
ENSG00000198744.5,35,34,17,19,73,56,67,63
ENSG00000268663.1,0,0,0,0,0,0,0,0
ENSG00000229376.3,0,0,1,0,1,1,1,0
ENSG00000228327.4,40,40,37,30,7,8,8,16
ENSG00000229905.1,0,0,1,0,0,0,0,0
ENSG00000237491.10,19,20,17,23,4,5,6,5
ENSG00000230092.7,0,2,0,1,1,1,1,1
ENSG00000177757.2,5,2,3,2,1,0,0,0
ENSG00000228794.11,137,155,145,151,187,137,166,195
ENSG00000225880.5,3,3,9,8,3,3,1,1
ENSG00000288531.1,0,0,0,0,0,2,4,3
ENSG00000230368.2,0,0,1,0,1,0,2,0
ENSG00000234711.1,1,0,0,0,0,1,0,1
ENSG00000283040.1,0,0,0,0,0,0,1,0
ENSG00000272438.1,0,0,0,0,2,0,0,0
ENSG00000230699.2,0,0,2,0,0,1,1,0
ENSG00000223764.2,0,0,0,1,0,0,0,1
ENSG00000187634.13,2,0,1,0,4,1,4,6
ENSG00000188976.11,1655,1609,1938,1628,857,893,904,1013
ENSG00000187961.15,171,162,222,184,22,16,34,36
ENSG00000187583.11,11,12,7,10,3,5,9,5
