,logfc,p
ENSG00000227232.5,-0.123882222198304,0.849122074869174
ENSG00000278267.1,0.396724332459722,0.776598742098451
ENSG00000268903.1,0.360013951605578,0.693875034083514
ENSG00000269981.1,1.07855037546612,0.494040118411324
ENSG00000241860.7,-0.0907991841429152,0.952541362945574
ENSG00000279457.4,-0.815826161089942,0.0406769615815117
ENSG00000237094.12,-0.0705735403334513,0.971097760591469
ENSG00000225972.1,-2.19051174457716,2.16358165569185e-10
ENSG00000225630.1,-0.344635506320974,0.0296441654073873
ENSG00000237973.1,-1.60408487046332,5.843543977753919e-56
ENSG00000229344.1,-2.62497724533795,8.420784068500151e-51
ENSG00000240409.1,-2.89379285031545,1.22012713211981e-07
ENSG00000248527.1,-0.516455075937561,0.0045951299554022
ENSG00000198744.5,-2.64944656521429,1.2624861184305299e-30
ENSG00000228327.4,0.140481649557909,0.721556803423324
ENSG00000237491.10,0.0903440675218821,0.874999292339146
ENSG00000230092.7,-0.854173452661008,0.734715201904593
ENSG00000177757.2,-1.1257842031611,0.215239913929409
ENSG00000228794.11,-0.203655592940978,0.210454073012559
ENSG00000225880.5,1.09941328583731,0.272435328979452
ENSG00000223764.2,-2.56495934063266,0.216166465901854
ENSG00000188976.11,-0.171936252972819,0.005590850571671
ENSG00000187961.15,-0.150269761592702,0.362758390868181
ENSG00000187583.11,-1.00619831867245,0.0388701213141004
ENSG00000272512.1,-6.91205397753578,1.3021088198647902e-09
ENSG00000188290.11,-5.39013116354396,3.1400080602481497e-83
ENSG00000187608.10,-7.27633637846487,0.0
ENSG00000224969.1,-1.91306298474132,0.332298058782442
ENSG00000188157.15,-0.886738356371672,8.557103323809609e-43
ENSG00000217801.11,-0.160720474827784,0.107373657743339
ENSG00000273443.1,0.0055080086023748,0.99227916431741
ENSG00000237330.3,-1.34127381354038,0.317627062075594
ENSG00000131591.18,-0.499482757914492,0.0003565099426579
ENSG00000285812.1,-0.839741280224287,0.389618117995421
ENSG00000186891.14,-3.17596667703911,7.755717043861019e-11
ENSG00000186827.11,-0.862259136663795,0.467869883883358
ENSG00000078808.19,-0.277216910268604,0.0001102096534833
ENSG00000176022.7,-8.07732082978002e-06,0.999909521583752
ENSG00000184163.3,-0.0227734631722407,0.982795654250122
ENSG00000260179.1,0.0490862928376365,0.975766351129764
ENSG00000160087.21,-0.208302041545717,0.0052594368639973
ENSG00000230415.1,0.0254459343983096,0.983810982727704
ENSG00000162572.21,-0.587607172200865,0.250037530446135
ENSG00000131584.19,-0.0331543306361913,0.854620440767749
ENSG00000169972.12,0.0936218939234463,0.671847465894441
ENSG00000127054.22,-0.157410142925047,0.0602772885073179
ENSG00000240731.1,-0.0274252791315749,0.952541362945574
ENSG00000224051.7,0.146556661194051,0.322347678545013
ENSG00000169962.5,-0.312040793192564,0.687519748145333
ENSG00000107404.21,-0.237657733831478,0.0080616557151959
ENSG00000162576.17,-0.117737042029762,0.753370023907282
ENSG00000175756.14,-0.0122377153662169,0.926981563938645
ENSG00000221978.13,-0.399222436349881,5.004800578618001e-17
ENSG00000224870.8,-0.103765451506055,0.434430315044681
ENSG00000242485.6,-0.1248613450574,0.1319168230479
ENSG00000272455.1,0.296411810183601,0.444642638984925
ENSG00000179403.12,0.580954135222293,0.577958391749499
ENSG00000160072.20,-0.51930069201636,1.6315640956545e-08
ENSG00000284740.2,-0.103357859312738,0.958162629738615
ENSG00000197785.14,-0.152655737690686,0.188591479479841
ENSG00000205090.9,0.564508217100889,0.666718728165572
ENSG00000160075.12,0.140617774911861,0.0251057315062482
ENSG00000215014.5,0.0904336142689072,0.887171213754723
ENSG00000228594.4,0.595065615233995,4.43343324375784e-05
ENSG00000286989.1,-0.0576914940785475,0.939351626779872
ENSG00000272106.1,-0.0767184097327702,0.824748327422651
ENSG00000197530.13,-0.200518313128935,0.0645988302983705
ENSG00000248333.9,-0.0614747368438477,0.629430496662963
ENSG00000189339.12,0.350990695973916,9.20683895370998e-06
ENSG00000269737.2,0.567800867668223,0.300002497741028
ENSG00000008128.23,-0.655498578269992,0.0927990118514336
ENSG00000268575.1,0.561438424868823,0.2972565970958
ENSG00000227775.3,0.680589151940574,0.0790559107268401
ENSG00000215790.8,0.359669222838597,0.434621958017663
ENSG00000008130.15,-1.29746716487393,1.2491409763141e-100
ENSG00000078369.18,-0.105187857298393,0.0228236036436839
ENSG00000231050.2,0.732411655243552,0.470280688330336
ENSG00000169885.10,-0.286064999011529,0.827990586207044
ENSG00000178821.13,-0.0333261669290329,0.986360782815686
ENSG00000067606.17,0.381042806085319,0.324416829429818
ENSG00000182873.5,0.237066825498815,0.794474131386164
ENSG00000162585.17,-0.136797675602416,0.25960637009874
ENSG00000157933.10,1.0536451329355,2.5314047540847796e-30
ENSG00000287356.1,-0.765951937719266,0.428135273616898
ENSG00000116151.14,0.12349467907279,0.588603606366857
ENSG00000269896.2,0.0328825950056411,0.941048237633583
ENSG00000272420.1,1.32399246787344,0.250975019451699
ENSG00000157916.20,-0.0542468413261076,0.447976582515605
ENSG00000157911.11,-0.239602743168239,0.136663046428173
ENSG00000157881.16,-0.12958755096935,0.251594569338416
ENSG00000272449.2,-0.0027933372900786,0.998044128795955
ENSG00000238164.6,-0.0984933859373072,0.812340475550885
ENSG00000157873.18,-0.49545090857351,2.07578262199518e-09
ENSG00000225931.3,0.178531977620585,0.932398435527613
ENSG00000228037.1,-0.357809455159057,0.814430566572967
ENSG00000289610.1,-0.36239542256125,0.869211175707692
ENSG00000157870.17,0.47936421166534,7.34130340655903e-05
ENSG00000215912.12,-0.0208240419883789,0.980979113624874
ENSG00000130762.15,1.02472531299667,0.0008784563856728
ENSG00000162591.16,0.993996452414987,1.13130640823741e-22
ENSG00000238260.2,0.710827875935448,0.573941767310068
ENSG00000158109.15,0.496017598746525,7.31135830039312e-12
ENSG00000116213.16,-0.0086532706414096,0.953259369358669
ENSG00000078900.15,0.737163719461745,0.0001017263518388
ENSG00000227589.1,2.63745930257724,0.101569557430872
ENSG00000227372.12,-0.131634497187866,0.311819216851611
ENSG00000162592.10,0.560610128941325,0.0952036897257125
ENSG00000235169.11,0.180636153518639,0.891652908312367
ENSG00000130764.10,0.0727095623011701,0.463356353658783
ENSG00000266075.2,0.254733451892403,0.918209805838439
ENSG00000272153.1,-0.200954880492698,0.746048428241083
ENSG00000116198.14,0.2090309761629,0.0220078367258715
ENSG00000169598.17,-0.0795825408188299,0.737749016706246
ENSG00000198912.12,0.224230624472143,0.0116582468607465
ENSG00000236423.7,-0.317751290991741,0.453844874614321
ENSG00000196581.11,2.25982908635655,7.36060718611455e-09
ENSG00000287586.1,2.67706336589677,7.91893648401372e-06
ENSG00000131697.18,0.2816888555469,0.0051405188697806
ENSG00000069424.16,1.19026944252154,7.088758460150131e-120
ENSG00000116254.18,-0.38603869185363,0.74900366745183
ENSG00000116251.11,-0.0272737320795136,0.784721970962559
ENSG00000158286.13,0.595599066286743,0.374014535873707
ENSG00000116237.16,0.785822434940801,8.08946689505704e-42
ENSG00000225077.3,1.41566937267702,0.113785127199026
ENSG00000158292.7,0.0422152013919905,0.904435067388791
ENSG00000097021.20,0.509114038309726,1.75737825643694e-05
ENSG00000069812.11,-1.27394660182559,0.569260201787795
ENSG00000187017.18,0.296822773432549,0.780083719342556
ENSG00000215788.11,-0.689541654340215,0.680059603735862
ENSG00000171680.23,1.61287868004962,0.274091405241186
ENSG00000162408.11,-0.125442034350574,0.220478087279943
ENSG00000229519.2,-1.20660650960864,0.439277779844445
ENSG00000204859.13,0.147922230873377,0.129538549898651
ENSG00000162413.17,-0.117090123931709,0.304885580538989
ENSG00000116273.6,0.0533122211666501,0.753245045137785
ENSG00000041988.16,-0.524319400207555,7.51800187331846e-07
ENSG00000007923.17,-0.235388304338523,0.0005861366190518
ENSG00000171735.19,-0.342440199832453,0.0020567274571805
ENSG00000269978.1,-1.65910543294261,0.45082631448367
ENSG00000049245.13,-0.133104615943569,0.073392583721285
ENSG00000269925.1,1.1106479330815,0.0462992782248144
ENSG00000049246.15,1.07466833842617,3.67261225342731e-05
ENSG00000049247.14,0.317476755769719,0.0081943404317208
ENSG00000049249.9,-3.07801201315053,2.57218485691568e-262
ENSG00000116288.13,-0.132642845127826,0.0183587427074117
ENSG00000200344.1,0.90487941404948,0.685175555604654
ENSG00000284747.1,-0.329818052153593,0.651800014035889
ENSG00000116285.13,-0.595228285069102,0.0912757056493162
ENSG00000232848.1,-2.78406683473805,0.0866562597741029
