,logfc,p
ENSG00000169908.12,8.85320435051746,1.91881085509775e-145
ENSG00000235597.3,8.65411785214084,1.40405063888523e-28
ENSG00000215386.14,8.05251941496624,1.86426331995196e-20
ENSG00000231023.8,8.05070243053347,1.15594558485356e-17
ENSG00000105392.16,7.95243310521035,1.1638895592513001e-21
ENSG00000227835.8,7.94058822956176,2.81256158515048e-21
ENSG00000224982.4,7.89593565910727,2.7329845363627697e-22
ENSG00000253394.7,7.85638947303403,1.6944465586460202e-19
ENSG00000008196.13,7.85107869244097,2.73726970171914e-22
ENSG00000260599.1,7.7663225804702,6.28368702481974e-22
ENSG00000166473.17,7.74385481075771,7.42237477394086e-22
ENSG00000170927.15,7.7118943099248,1.6605877024366e-20
ENSG00000254277.2,7.70514570639267,7.98436039986746e-20
ENSG00000139910.20,7.70419061630868,4.59918728757165e-21
ENSG00000254567.2,7.69924253181005,4.9107105623623104e-21
ENSG00000254101.8,7.68243449490208,3.65391252073395e-19
ENSG00000215160.3,7.65462184433587,3.84629242089106e-21
ENSG00000125999.11,7.62173463590484,1.11684861806219e-18
ENSG00000198576.4,7.61864954553842,4.39444686184587e-266
ENSG00000078328.23,7.61560594203832,3.2686441148829497e-18
ENSG00000279810.1,7.60501249587934,1.9996415121435302e-20
ENSG00000231316.1,7.60113196165583,9.34671033947875e-21
ENSG00000232105.1,7.58208039988159,6.19225106533465e-20
ENSG00000163618.18,7.57993356818709,4.93423169433773e-20
ENSG00000184999.13,7.57951026859958,4.3828475469729e-13
ENSG00000228208.7,7.57448128634562,1.40587480689831e-20
ENSG00000132204.14,7.57070010318173,5.847966629634991e-17
ENSG00000037965.6,7.53900387483611,6.36810889013385e-20
ENSG00000254976.1,7.52907887678189,2.5640075554385103e-19
ENSG00000143995.20,7.52806651837854,6.235422277250061e-21
ENSG00000149968.12,7.52035354235556,1.43490924612658e-41
ENSG00000224243.2,7.51041931426338,7.400651032215792e-19
ENSG00000253362.1,7.50914854795482,6.3390472344463e-18
ENSG00000124440.16,7.50665815650486,6.53262649139601e-17
ENSG00000219491.7,7.4914365642555,1.45727403000756e-20
ENSG00000264125.1,7.47772441671038,1.1003702685905801e-17
ENSG00000206659.1,7.47554747574844,7.672814121104431e-20
ENSG00000256581.1,7.45683414665823,5.22986276218776e-17
ENSG00000144285.23,7.44330062492294,1.82187525724815e-16
ENSG00000279324.1,7.43192753132104,3.0970599018608e-17
ENSG00000130226.17,7.42900685848087,1.00152803514224e-19
ENSG00000286662.2,7.41546296520374,2.92649071069096e-19
ENSG00000289419.1,7.39849554778753,9.99358189507685e-18
ENSG00000104237.11,7.39755440776717,5.68721769698552e-20
ENSG00000162105.21,7.39496263050259,3.10111421364336e-18
ENSG00000288777.1,7.39269514239245,2.13758149954486e-16
ENSG00000237001.7,7.37060100724093,1.13638946267845e-18
ENSG00000082497.12,7.36933524126784,3.39925771323451e-16
ENSG00000267779.7,7.35173374341545,2.48136722727017e-15
ENSG00000279774.1,7.34283663675309,8.0420953454798e-19
ENSG00000264116.6,7.33668778697813,1.3625590751138701e-17
ENSG00000249359.3,7.32812986202598,3.7960708708391e-18
ENSG00000235142.11,7.3058440176823,1.09907067719529e-16
ENSG00000231764.11,7.30215255430798,9.83844439360634e-18
ENSG00000270207.2,7.28839670708482,1.8808446671273e-17
ENSG00000259225.8,7.28824446133881,1.88561804697825e-16
ENSG00000261178.2,7.27908501444673,9.34728763358237e-18
ENSG00000286217.2,7.27803677835423,1.32217528016641e-16
ENSG00000287177.1,7.27734747261435,1.13373855598763e-17
ENSG00000286663.1,7.27031595716138,2.61302837830471e-16
ENSG00000090402.8,7.26492719451243,5.08539762400768e-16
ENSG00000285867.1,7.26118152524829,1.07420236975836e-18
ENSG00000164946.20,7.26032090890426,4.29876849482585e-17
ENSG00000008197.5,7.24611620167157,4.21793493157237e-18
ENSG00000186960.14,7.24323820415643,6.89537689675216e-19
ENSG00000260971.4,7.22282567057475,4.39421027288829e-17
ENSG00000228334.2,7.22156462042023,2.6570892327600298e-18
ENSG00000154556.18,7.2100319772552,1.9735630583238e-18
ENSG00000183454.18,7.20776609458217,2.16106650907801e-16
ENSG00000196482.18,7.20052389881831,1.2013191779766e-17
ENSG00000288876.1,7.19910014346315,1.12774353748752e-15
ENSG00000143469.20,7.18847146514233,1.82938359218491e-13
ENSG00000288575.1,7.18565443831584,2.60018463595786e-16
ENSG00000254425.1,7.18385233852701,2.29470446323204e-16
ENSG00000246223.10,7.17790942830162,6.45379472094901e-18
ENSG00000006071.16,7.17239359737924,2.7098724889810504e-15
ENSG00000237654.6,7.17107987904596,5.670033894588839e-16
ENSG00000267761.3,7.16493399885532,4.6742418240948304e-14
ENSG00000132932.19,7.16085541625748,1.72337102528897e-16
ENSG00000105929.16,7.15869477402045,1.12436335903063e-14
ENSG00000257127.6,7.14347774483406,1.23340223690253e-16
ENSG00000276627.3,7.13882179868365,2.21156721061417e-14
ENSG00000286467.1,7.1328900559755,7.00961572950955e-17
ENSG00000264985.4,7.13025704381604,1.66152631783627e-14
ENSG00000146839.19,7.11336090417896,5.9292017999221e-17
ENSG00000236538.1,7.11312381562413,4.4328646304886895e-12
ENSG00000241956.11,7.11099816088956,6.90913275570503e-17
ENSG00000286647.1,7.10871623490552,8.44341702814855e-17
ENSG00000174498.14,7.0984159799695,4.76866551740028e-17
ENSG00000128655.19,7.08959878133895,1.9884528985244202e-17
ENSG00000224674.1,7.08679698384395,2.34717425545489e-17
ENSG00000260163.1,7.0814608763195,7.233046976217461e-17
ENSG00000125398.8,7.07776344350791,1.62428923337472e-16
ENSG00000287558.1,7.07601030538452,2.59200203979048e-14
ENSG00000289192.1,7.06950281590069,6.25879723792414e-17
ENSG00000173285.5,7.05903204466078,1.02841862970197e-17
ENSG00000286675.1,7.05414870327623,6.086294128569109e-16
ENSG00000250038.7,7.05342235613102,1.3688464009113e-14
ENSG00000184454.7,7.04843222230067,4.88720734462275e-16
ENSG00000234352.9,7.04835311239279,1.44663924811385e-14
ENSG00000230148.8,7.04175001172202,1.09510575518798e-14
ENSG00000288565.1,7.03224489632757,5.84650676121133e-14
ENSG00000227115.9,7.02725599767112,2.08853765367618e-16
ENSG00000114279.15,7.02004885995081,1.45620329928782e-13
ENSG00000039139.11,7.01851886192774,1.86900543519215e-13
ENSG00000201426.1,7.01744283308688,6.75912115812339e-16
ENSG00000136696.11,7.01478733799825,1.00263605388815e-59
ENSG00000100012.12,7.0077507763128,2.11274458607596e-16
ENSG00000233776.5,7.0053703142666,2.6623099730427e-16
ENSG00000200261.1,7.00420517650244,7.81241303210304e-17
ENSG00000231839.1,7.00389820160952,1.1678202815148402e-15
ENSG00000241640.2,7.00078481478756,8.12154419799523e-16
ENSG00000064042.18,7.00031763743525,1.0568902241051401e-17
ENSG00000182901.18,6.99386013915218,4.22249097262298e-22
ENSG00000264151.6,6.99271007555533,4.62915491069808e-14
ENSG00000180287.17,6.97800130303466,7.67392388274706e-15
ENSG00000254300.1,6.97789632394011,4.05795191265236e-15
ENSG00000173068.18,6.97135175656823,8.00806853507084e-17
ENSG00000242512.9,6.96729733430282,6.41836867967935e-16
ENSG00000240641.3,6.96538261526444,1.63370131567935e-14
ENSG00000264490.3,6.94598704737722,4.771812360309861e-15
ENSG00000225236.1,6.93936048559812,4.0470217202587e-15
ENSG00000286889.1,6.93535379280099,8.665249128113391e-15
ENSG00000226356.2,6.93377250278594,1.45610889227351e-13
ENSG00000106648.14,6.93141428973717,6.876315252927211e-15
ENSG00000141431.13,6.93031559687403,4.62789135841389e-15
ENSG00000144908.14,6.92930660209174,6.232286135214629e-12
ENSG00000258827.2,6.92865771598127,3.11774420886459e-14
ENSG00000204967.12,6.92104627449958,1.86842900887146e-15
ENSG00000224271.7,6.90805765501588,5.69075908595837e-16
ENSG00000140481.15,6.89754073162335,2.5784838808558002e-15
ENSG00000164729.8,6.89252372456427,1.0733543999844e-15
ENSG00000200254.1,6.89178147946141,1.97044014173156e-15
ENSG00000233639.8,6.88854331145202,9.036717588999739e-11
ENSG00000204300.7,6.88536909333997,1.03117240131848e-11
ENSG00000235535.9,6.88380443333281,1.67757108574871e-14
ENSG00000140945.17,6.88254372181354,1.34196308006737e-16
ENSG00000203356.2,6.88149779849896,2.3823463094192505e-14
ENSG00000242808.11,6.88001460074195,9.92490203692513e-26
ENSG00000021645.20,6.87231430051603,2.81720322989376e-15
ENSG00000258903.2,6.87115029313182,1.07070831282843e-11
ENSG00000153283.13,6.8710139167524,6.6262835145618086e-12
ENSG00000176204.14,6.86640796080956,1.08200520749666e-12
ENSG00000131068.4,6.86583236235774,5.31346758817329e-13
ENSG00000204117.2,6.86013264230173,4.99157553405007e-16
ENSG00000260624.2,6.85918168938408,1.39655741502607e-13
