,logfc,p
ENSG00000131203.13,11.7435420180501,2.05066168774239e-161
ENSG00000169245.6,11.0827993743553,3.32926606421016e-102
ENSG00000108700.5,11.0069567528258,1.02263922545173e-125
ENSG00000102794.10,10.8626723447814,1.7392933917339202e-85
ENSG00000128383.13,10.7051621673339,1.061626465673e-24
ENSG00000169248.13,10.1993479991114,1.90511053273354e-85
ENSG00000138755.6,10.1599887860193,1.7534948306166e-21
ENSG00000185745.10,9.92801843140714,0.0
ENSG00000136244.12,9.91833913588043,6.55910083151426e-51
ENSG00000119922.11,9.77619899543433,0.0
ENSG00000134321.13,9.5894031029358,3.3813532644704106e-291
ENSG00000253838.1,9.53504211939044,4.06639768655539e-19
ENSG00000106952.8,9.48744057836783,5.00824508952201e-19
ENSG00000135114.13,9.40393748000701,0.0
ENSG00000225886.3,9.22373862347328,7.4925293535036115e-19
ENSG00000254287.1,9.13493379430122,2.1593283339858705e-17
ENSG00000120436.4,9.01624236436287,4.066577201187581e-17
ENSG00000147050.17,8.76006034304195,2.1251373882189599e-16
ENSG00000121858.11,8.58860700490171,9.5223409203517e-129
ENSG00000157601.15,8.45407339825653,0.0
ENSG00000113302.5,8.30328866330383,1.19334213929975e-14
ENSG00000119917.15,8.19756494022988,0.0
ENSG00000126353.3,7.98718438215125,2.14341341691495e-114
ENSG00000276070.5,7.86153385999125,0.0
ENSG00000172183.16,7.80585788163202,6.58577021198767e-219
ENSG00000170162.14,7.7072645789161,1.18619365167487e-18
ENSG00000261618.2,7.41794748635582,2.30883162689928e-17
ENSG00000134326.12,7.40582053382913,0.0
ENSG00000285744.1,7.31976478040695,4.21385920792339e-22
ENSG00000187608.10,7.27633637846487,0.0
ENSG00000170542.6,7.2136237700892,7.254914252239291e-91
ENSG00000276462.2,7.19244718885312,1.45016910647916e-10
ENSG00000078081.8,7.18388216011919,0.0
ENSG00000196684.12,7.18025179989968,1.08515351890708e-10
ENSG00000113594.10,7.17667390611796,3.06538580956422e-16
ENSG00000138646.9,7.13891586469214,0.0
ENSG00000103449.13,7.05397577871585,4.44049630481348e-10
ENSG00000178033.6,7.02909884214264,3.04404650329601e-25
ENSG00000182782.8,6.96059356407862,2.56211631353325e-34
ENSG00000164400.6,6.93858064854018,1.99448891248665e-38
ENSG00000272512.1,6.91205397753578,1.3021088198647902e-09
ENSG00000185433.11,6.87622652331431,1.63139230355696e-09
ENSG00000163121.10,6.87317273500715,6.842073411171511e-59
ENSG00000132274.16,6.86519071280511,0.0
ENSG00000204010.3,6.86071722406963,1.76383501224197e-09
ENSG00000163568.15,6.84813563621534,0.0
ENSG00000115607.10,6.84622624543032,2.50138237132655e-51
ENSG00000288013.1,6.82164737392699,2.66534623931349e-09
ENSG00000137959.17,6.75992117008376,1.32292837920247e-142
ENSG00000188676.14,6.75450329868182,2.01704518599288e-27
ENSG00000140511.12,6.7424525357676,1.09378080869494e-59
ENSG00000096696.15,6.7017962547159,6.565791917506841e-10
ENSG00000283265.1,6.67946786132955,3.22364155165432e-09
ENSG00000225492.6,6.66635094469573,9.70220052965959e-107
ENSG00000110944.9,6.61417294818535,0.0
ENSG00000121594.12,6.58334078032861,7.22975520708471e-132
ENSG00000102524.12,6.56795129436764,0.0
ENSG00000225626.4,6.56336931680847,1.53288459314119e-09
ENSG00000104368.19,6.53823672681883,1.11508875313617e-54
ENSG00000111335.14,6.52058100356373,0.0
ENSG00000137965.11,6.51133005007383,1.02273671349482e-271
ENSG00000168685.15,6.50918198502862,1.14248204333261e-249
ENSG00000185885.17,6.48207479759654,9.87882739029565e-67
ENSG00000100346.18,6.44124617841768,5.60230949672296e-08
ENSG00000073756.13,6.43445021276347,0.0
ENSG00000276085.1,6.40725304920533,0.0
ENSG00000213512.3,6.40151544213613,4.54540181949735e-08
ENSG00000010030.14,6.38760600701244,1.67385543177076e-161
ENSG00000168367.11,6.35820766476068,6.91662512450238e-08
ENSG00000000971.16,6.3394803828899,1.12633525554048e-30
ENSG00000132530.17,6.29268738499152,7.3416111874184e-221
ENSG00000158458.21,6.19976932093533,3.68217100776781e-77
ENSG00000182393.3,6.16269029458201,2.79972070773046e-07
ENSG00000171855.7,6.1398659528245,2.4848459319227e-08
ENSG00000206073.11,6.13210709523695,1.19340438863429e-18
ENSG00000238015.2,6.12834492742708,1.02472747431155e-07
ENSG00000259717.1,6.11331950845262,3.48966449599532e-07
ENSG00000108342.13,6.08117111264878,1.80066726978789e-42
ENSG00000035720.8,5.96566723306021,8.67858678152274e-23
ENSG00000232618.2,5.94201952687631,3.5642167022725e-14
ENSG00000271474.1,5.93083517594267,3.28360802488432e-07
ENSG00000165949.13,5.89485434691706,1.62313408304469e-22
ENSG00000183486.14,5.87669145346107,0.0
ENSG00000249934.2,5.86815667040111,1.63692879419575e-06
ENSG00000105855.10,5.86778454525239,0.0
ENSG00000233817.1,5.86676887310505,5.41128544548149e-07
ENSG00000197893.14,5.85770425643992,8.19513233256955e-20
ENSG00000223177.1,5.83601482300143,1.88758351030037e-07
ENSG00000288825.1,5.82429042338716,2.70588773173055e-06
ENSG00000174059.17,5.80915249649483,6.95759833323346e-07
ENSG00000120217.14,5.79997545819494,0.0
ENSG00000118523.6,5.7996702593352,3.16778424200416e-89
ENSG00000225964.6,5.79594604136369,3.71513581761237e-26
ENSG00000154451.15,5.7806816172061,0.0
ENSG00000228318.3,5.78032885324585,3.03856713489213e-06
ENSG00000161133.17,5.75855228472525,8.38007184385642e-06
ENSG00000253286.6,5.75556043821354,5.7198045756584e-06
ENSG00000047936.11,5.74487727255109,4.58612681293147e-06
ENSG00000050730.16,5.73890860409944,1.78630708692285e-52
ENSG00000184979.10,5.72626849286113,0.0
ENSG00000103569.10,5.71114384657129,1.1758314912000198e-179
ENSG00000124256.15,5.69132656674244,1.4865465896701e-06
ENSG00000204099.12,5.68882832282562,1.42194549359761e-06
ENSG00000164794.9,5.68010706336027,1.4748284033032e-06
ENSG00000162654.9,5.66640565560794,0.0
ENSG00000145777.15,5.65218007510333,6.63455948919623e-162
ENSG00000183813.7,5.64902825334689,7.24677095091075e-06
ENSG00000182508.14,5.64020082902089,1.876903133714e-06
ENSG00000204711.9,5.63182830088174,9.35060370073776e-06
ENSG00000107201.11,5.62959451101861,1.53429784675334e-114
ENSG00000153993.14,5.57072172042194,0.0
ENSG00000186479.5,5.5656783480995,8.89897826140046e-07
ENSG00000104432.14,5.54656133231635,4.33571083184577e-12
ENSG00000154099.18,5.53959691292319,7.69103293306421e-49
ENSG00000162645.13,5.53811715606598,0.0
ENSG00000185215.11,5.51121337003449,0.0
ENSG00000234663.7,5.50478733255091,2.10637973272214e-05
ENSG00000231915.2,5.49698480895354,4.45747079024654e-06
ENSG00000271268.1,5.48500543604043,4.88956156299235e-06
ENSG00000114455.14,5.45658276610556,2.97126316540776e-05
ENSG00000110848.8,5.45285209939134,5.4301353914961406e-09
ENSG00000249740.4,5.45192605474547,2.36907541423211e-05
ENSG00000133106.15,5.45100424005966,5.8917696546055e-256
ENSG00000262061.7,5.44732318913716,2.14875000495778e-05
ENSG00000225216.6,5.43937346788587,7.4727070141537e-06
ENSG00000279296.1,5.43241072040235,2.14758627066972e-06
ENSG00000253939.1,5.40450275731661,3.98939368509376e-05
ENSG00000164116.17,5.3966729159988,7.68892262870284e-09
ENSG00000188290.11,5.39013116354396,3.1400080602481497e-83
ENSG00000181374.8,5.37541839666516,1.8348765207785697e-18
ENSG00000140519.14,5.37414399842551,9.79666019240682e-09
ENSG00000267712.6,5.35328664383766,2.99403644725198e-21
ENSG00000187479.8,5.33576457397719,3.56155058202435e-06
ENSG00000041982.16,5.33120548083894,2.62327962802715e-60
ENSG00000286151.1,5.32564376550939,3.87104579088793e-05
ENSG00000234389.1,5.27430942916673,0.0001374702768727
ENSG00000105707.15,5.27132353578296,9.43804563010695e-05
ENSG00000254704.3,5.2699963244977,5.49270681769808e-05
ENSG00000254528.7,5.25770880989878,5.89446005569924e-05
ENSG00000188886.4,5.25082754006711,1.9616666197466802e-15
ENSG00000168062.10,5.24428544695703,0.0
ENSG00000149131.17,5.23946239302799,5.55058529019044e-74
ENSG00000146411.6,5.23092864140209,2.07519183914421e-05
ENSG00000289198.1,5.2173847011662,1.01558005846631e-29
ENSG00000164651.18,5.21362769685827,7.65054354673182e-05
ENSG00000137726.17,5.19302666475686,9.673042417058913e-19
ENSG00000177409.12,5.19281037103277,0.0
ENSG00000230191.1,5.17067458831316,0.0003480694092665
ENSG00000110436.13,5.15835774034653,5.48561508571394e-36
ENSG00000283071.1,5.14564815382034,0.0001479478268667
ENSG00000089127.15,5.14292044734554,0.0
ENSG00000088827.13,5.14284814376673,9.779607203330812e-110
ENSG00000182168.15,5.13544129984437,3.5655979775519507e-155
ENSG00000007908.16,5.13139161493521,0.0002195976838735
ENSG00000138135.7,5.11174141121548,7.833409635694051e-31
ENSG00000254017.1,5.08335346788472,0.0002039758256573
ENSG00000157111.13,5.04792445088789,4.61201362706247e-152
ENSG00000275302.2,5.03457251109649,0.0
ENSG00000279835.1,5.03263495604338,6.1097158711878e-05
ENSG00000237276.9,5.020468485042,1.15235981876868e-38
ENSG00000232759.1,5.00889059796927,0.0002977276386903
ENSG00000167772.12,5.00580872763826,1.67696432774869e-129
ENSG00000133101.10,4.99115051067281,3.13646637647685e-37
ENSG00000165694.11,4.98578253179579,1.46512845449518e-22
ENSG00000282897.1,4.98551852826943,7.38686400105939e-05
ENSG00000100191.6,4.98198966658293,2.1066741246888e-07
ENSG00000225519.1,4.97817773387121,2.36907541423211e-05
ENSG00000255221.4,4.97082420094721,0.0004502368778491
