,logfc,p
ENSG00000105392.16,8.64503588583426,1.01702375396878e-14
ENSG00000235597.3,8.62565886561711,2.1708794749135503e-15
ENSG00000143995.20,8.58142633755937,5.746736515523321e-15
ENSG00000253394.7,8.18887935317157,9.10843503921222e-13
ENSG00000169908.12,8.13166340796642,7.077757213944159e-108
ENSG00000231023.8,8.02041768576389,1.10566600880954e-11
ENSG00000227835.8,7.91167957973935,2.7832061390236097e-12
ENSG00000224982.4,7.867542978556,2.15316012383304e-12
ENSG00000219491.7,7.82384386580588,2.53934787904364e-12
ENSG00000008196.13,7.82268968741173,2.6911259310270897e-12
ENSG00000185860.14,7.76188219015017,1.00484194365122e-11
ENSG00000260599.1,7.73805331620088,4.83179863553575e-12
ENSG00000104237.11,7.72939030875529,5.50404251703602e-12
ENSG00000166473.17,7.71544159927538,5.54880557799286e-12
ENSG00000170927.15,7.68388554000488,1.26206425270278e-11
ENSG00000254277.2,7.67646836869942,1.79111142358199e-11
ENSG00000139910.20,7.67588320932377,9.920002908564167e-12
ENSG00000254567.2,7.67095764382892,1.0350012090172298e-11
ENSG00000215386.14,7.66302207865192,2.08174083579898e-11
ENSG00000215160.3,7.62635784336749,1.2046289373387299e-11
ENSG00000259225.8,7.62110212380901,7.140661022726739e-11
ENSG00000125999.11,7.59190300826482,4.62636405523738e-11
ENSG00000078328.23,7.58630278951167,5.980582989637409e-11
ENSG00000279810.1,7.57641197695867,2.17935383088602e-11
ENSG00000231316.1,7.57260698258948,1.89092679627811e-11
ENSG00000137709.10,7.56850316675246,2.36354032985115e-10
ENSG00000228334.2,7.55392116412136,3.1191021316378e-11
ENSG00000232105.1,7.5534923659172,3.08297110189607e-11
ENSG00000163618.18,7.55147459506162,2.9787190409603e-11
ENSG00000184999.13,7.54887878373313,1.2356143826317402e-09
ENSG00000132204.14,7.54083731333965,1.396940264144e-10
ENSG00000183454.18,7.53943164560283,1.02096826102209e-10
ENSG00000196482.18,7.53285288213455,5.000632069171309e-11
ENSG00000176887.7,7.5023496892394,6.05426619936615e-11
ENSG00000254976.1,7.50059962412104,5.3721291674194895e-11
ENSG00000132932.19,7.49378365048848,1.19089187150609e-10
ENSG00000224243.2,7.48156012401263,7.269853733568139e-11
ENSG00000253362.1,7.48028875007866,1.14418730907817e-10
ENSG00000264125.1,7.44947389387758,1.51262047142317e-10
ENSG00000206659.1,7.44717688102292,5.3297005015396587e-11
ENSG00000256581.1,7.42800215579191,2.30211226250783e-10
ENSG00000144285.23,7.41561480439722,3.19509141470862e-10
ENSG00000279324.1,7.40287736911278,2.29879753317234e-10
ENSG00000235021.1,7.39998616353687,1.05757909049119e-10
ENSG00000286662.2,7.38686727710011,9.473861644458479e-11
ENSG00000087258.16,7.38613692958697,3.71384808419719e-10
ENSG00000289419.1,7.36910165883235,1.4506099791795002e-10
ENSG00000162105.21,7.36658945266227,1.69979205923989e-10
ENSG00000203688.6,7.36459449398719,1.80478116544816e-10
ENSG00000288777.1,7.36438061120893,4.23111709747478e-10
ENSG00000201426.1,7.34922028075088,3.08617374586244e-10
ENSG00000237001.7,7.34235693090508,1.53713162835898e-10
ENSG00000200261.1,7.33657950729695,1.88858516222e-10
ENSG00000267779.7,7.3222288356743,8.917005074815881e-10
ENSG00000264116.6,7.30790921370529,3.04267963811541e-10
ENSG00000173068.18,7.30361787840688,2.19401383933983e-10
ENSG00000249359.3,7.29982791050438,2.44594918540342e-10
ENSG00000254101.8,7.29194636088127,1.93707973990987e-10
ENSG00000264490.3,7.27768102274072,6.99501736121746e-10
ENSG00000231764.11,7.27397484812734,3.35973201337858e-10
ENSG00000144908.14,7.26065920309292,6.359135478559091e-09
ENSG00000270207.2,7.25955335435476,4.05053569116635e-10
ENSG00000261178.2,7.25078398346575,3.6751971108570303e-10
ENSG00000286217.2,7.24975707484266,6.51988198513884e-10
ENSG00000287177.1,7.24901273369599,3.86434153453938e-10
ENSG00000286663.1,7.24256112175554,7.84012886179205e-10
ENSG00000090402.8,7.23505635094343,9.16014171000682e-10
ENSG00000285867.1,7.23311594121548,1.48838079464091e-10
ENSG00000140481.15,7.2295737746456,7.29772842999249e-10
ENSG00000286081.2,7.2228926813537,6.00871267545249e-10
ENSG00000008197.5,7.21783415579908,3.5810961901028603e-10
ENSG00000198576.4,7.21531993313759,3.8004737725581e-260
ENSG00000260971.4,7.1942720105479,6.59844333823178e-10
ENSG00000228208.7,7.18545335277712,1.66576584509377e-10
ENSG00000288876.1,7.16943714892717,1.46538391686025e-09
ENSG00000143469.20,7.15990107243659,5.0892805584909505e-09
ENSG00000288575.1,7.15726171336247,1.14373855005984e-09
ENSG00000254425.1,7.15555398546925,1.12372873749787e-09
ENSG00000037965.6,7.14969224985237,2.61009624621999e-10
ENSG00000237654.6,7.14308121493395,1.43164155259842e-09
ENSG00000267761.3,7.13812040822492,3.78425680405441e-09
ENSG00000124440.16,7.1163370142103,1.22687763706527e-09
ENSG00000257127.6,7.11530821680208,1.18724419957622e-09
ENSG00000276627.3,7.11126809791572,3.6611707833431404e-09
ENSG00000288460.1,7.10886646444987,6.424371004851451e-09
ENSG00000264985.4,7.10008437394231,3.59376024377702e-09
ENSG00000146839.19,7.08499207811418,1.1546301830213702e-09
ENSG00000241956.11,7.08245893444149,1.2076021382434502e-09
ENSG00000236538.1,7.08161044401624,1.55316574794282e-08
ENSG00000286647.1,7.08034421367669,1.2787562868517602e-09
ENSG00000286938.1,7.0571027729594,3.2916537004546303e-09
ENSG00000260163.1,7.05319323418937,1.37846805759329e-09
ENSG00000125398.8,7.04927374369025,1.6813120420845e-09
ENSG00000287558.1,7.04824923342387,5.1379668491385e-09
ENSG00000099617.4,7.04638936121471,6.2563451322470215e-09
ENSG00000279648.1,7.04418480796523,1.77492625100074e-09
ENSG00000140015.20,7.04074606816593,3.05140238440348e-09
ENSG00000130226.17,7.03999896573611,4.66026011100744e-10
ENSG00000260896.6,7.03409854962827,4.85655117333338e-10
ENSG00000136573.14,7.02931584906063,1.66205557852433e-08
ENSG00000286675.1,7.02535536282351,2.4509435817983403e-09
ENSG00000250038.7,7.02457023234567,4.8337763313967414e-09
ENSG00000287759.1,7.02028815678105,2.76687335709367e-08
ENSG00000234352.9,7.01992779499057,5.0326868335820205e-09
ENSG00000184454.7,7.01967056129136,2.40564807830777e-09
ENSG00000230148.8,7.01375418031057,4.87100666051765e-09
ENSG00000288565.1,7.00155985990554,7.3701190420154e-09
ENSG00000082497.12,6.97984160087622,3.1252721889279503e-09
ENSG00000100012.12,6.97938380905417,2.40447393267267e-09
ENSG00000102466.16,6.97872869759822,2.88015617950077e-08
ENSG00000233776.5,6.97694417430094,2.56551658762172e-09
ENSG00000231839.1,6.97573583746523,3.56666373068799e-09
ENSG00000064042.18,6.97210568738632,7.38595286642254e-10
ENSG00000163531.17,6.97175090552935,7.47051471429391e-10
ENSG00000264151.6,6.96557280428883,8.229395865147821e-09
ENSG00000279774.1,6.9538042221737,1.01544709974891e-09
ENSG00000180287.17,6.94938454304476,5.93260707678904e-09
ENSG00000254300.1,6.94928453800251,5.1668966893967905e-09
ENSG00000198650.11,6.94921491785534,2.19467782136958e-08
ENSG00000121570.13,6.94297190750305,3.70949451323377e-09
ENSG00000203876.10,6.94254964254809,1.69861936504678e-08
ENSG00000287812.1,6.94042636489354,4.26034289177472e-09
ENSG00000240641.3,6.93732710792168,7.38853201550506e-09
ENSG00000182732.18,6.93732710792168,7.38853201550506e-09
ENSG00000137960.6,6.93492700473845,4.7543913567378805e-09
ENSG00000225236.1,6.91057070324587,6.1016099378273205e-09
ENSG00000256001.3,6.9091167953368,5.30753514130733e-09
ENSG00000286889.1,6.90675490955673,7.32970069216267e-09
ENSG00000226356.2,6.90533433317057,1.36306900556359e-08
ENSG00000106648.14,6.90285279252388,7.11006098245872e-09
ENSG00000141431.13,6.90197473342009,6.57457108309392e-09
ENSG00000258827.2,6.90066858639074,1.00228666521306e-08
ENSG00000204967.12,6.89251870099225,5.690508527308411e-09
ENSG00000224271.7,6.87986664386014,2.70291696098805e-09
ENSG00000287603.1,6.87234129464928,8.78470886121456e-09
ENSG00000164946.20,6.87000818077551,3.15446033980976e-09
ENSG00000164729.8,6.86420716279555,5.59979564051927e-09
ENSG00000043039.7,6.86356504352581,1.62707698567466e-08
ENSG00000200254.1,6.86319956456347,6.435067189955571e-09
ENSG00000233639.8,6.86121646481945,8.64030104909792e-08
ENSG00000235535.9,6.85582323194331,1.06348682090722e-08
ENSG00000186960.14,6.85403653665456,1.50055338718303e-09
ENSG00000204300.7,6.85320009219151,4.73540009493049e-08
ENSG00000186832.9,6.85155306894395,7.81953803053852e-09
ENSG00000153283.13,6.84088208240044,4.31511450224337e-08
ENSG00000260228.6,6.83919474712409,1.50031131770789e-08
ENSG00000176204.14,6.83664715010449,2.8128202725038e-08
ENSG00000131068.4,6.83635170303392,2.39320853312118e-08
ENSG00000007062.12,6.83138264504675,3.21588189578497e-09
ENSG00000260624.2,6.83004076021824,1.85364052717999e-08
ENSG00000266602.2,6.82887844639537,9.833339470195581e-09
ENSG00000273125.2,6.82811112630684,1.82712243689931e-08
ENSG00000242593.7,6.82645343590403,9.2992398209417e-08
ENSG00000256193.6,6.82199889566977,1.05648906970088e-08
ENSG00000185046.20,6.82080297304228,1.35164831667936e-08
ENSG00000264714.1,6.81588665392183,5.15040121175933e-08
ENSG00000231057.4,6.79340686834679,6.15273665294725e-08
ENSG00000227954.7,6.79051888907377,2.14198229661807e-07
ENSG00000228590.3,6.78938951421821,2.19749130276945e-08
ENSG00000246223.10,6.78874224439397,3.05736069409487e-09
ENSG00000166405.15,6.78769127176389,2.41640147099171e-08
ENSG00000260212.1,6.78766142875118,1.4163455749231e-08
ENSG00000257252.6,6.78440719671159,1.72059623939021e-08
ENSG00000258489.4,6.78439195115494,4.39969441493448e-08
ENSG00000177182.11,6.78376450113626,2.63048444351926e-08
ENSG00000288897.1,6.78030273614925,2.61654210839376e-08
ENSG00000179284.6,6.77619688591755,2.97998858727623e-08
ENSG00000250961.2,6.77551009228951,1.70320086641552e-08
ENSG00000199883.1,6.77324113564587,2.17352882219551e-08
ENSG00000105929.16,6.76865276513158,1.58612291041114e-08
ENSG00000249383.2,6.7590812222857,5.01614022480153e-08
ENSG00000149968.12,6.75796094091446,0.0
ENSG00000164035.10,6.75772004809783,4.80298321755392e-08
ENSG00000289323.1,6.75169679089861,2.37684598840752e-08
ENSG00000255030.1,6.74863383125101,3.21550596671666e-07
ENSG00000196361.10,6.7478067137091,1.99676118118377e-08
ENSG00000215475.5,6.74471684850549,1.54361924805153e-07
ENSG00000286467.1,6.74441592584082,5.94836621766275e-09
ENSG00000268987.1,6.74429206878666,7.30502828984109e-09
ENSG00000132911.5,6.74402214663156,4.19488970581576e-08
ENSG00000232265.8,6.74031379615388,4.59871216094787e-08
ENSG00000267665.2,6.73848015873892,5.91411092710692e-08
ENSG00000287268.1,6.73620095621702,1.55091698185376e-08
ENSG00000248131.6,6.73538341424988,1.61659781785588e-08
ENSG00000286934.1,6.73517874883502,4.0894141921515e-08
ENSG00000284430.1,6.73517874883502,4.0894141921515e-08
ENSG00000287708.1,6.72880908183007,3.7949951866468e-08
ENSG00000283445.1,6.72816001371573,2.12219431335541e-08
ENSG00000182752.10,6.71975253800033,9.677888970878222e-09
ENSG00000280182.1,6.71591581100288,2.07386424029283e-08
ENSG00000174498.14,6.70918934681551,6.329902038583061e-09
ENSG00000287197.1,6.70881419137739,5.00705785818032e-08
ENSG00000225938.2,6.70473693416219,2.91770326592341e-08
ENSG00000259776.1,6.70273057107005,3.87543473999278e-08
ENSG00000115252.18,6.70050699907739,4.66654751121092e-07
ENSG00000224674.1,6.69778985088127,5.80501292898728e-09
ENSG00000215559.8,6.69657023924519,9.23106819657054e-08
ENSG00000112541.19,6.69621567814245,2.25244637705933e-08
ENSG00000241484.10,6.69481825734754,2.97998858727623e-08
ENSG00000257407.1,6.68940317804613,1.59612030577354e-07
ENSG00000256422.7,6.68884647690031,4.58018455386598e-08
