,logfc,p
ENSG00000129173.13,8.2306911233101,8.998476101902e-15
ENSG00000152253.9,8.08776402400753,3.10592227056347e-14
ENSG00000101916.12,7.6035621422976,1.38557428071219e-12
ENSG00000274536.8,7.52811863704187,7.86329556231186e-13
ENSG00000131747.15,7.46676449929933,7.55291449546327e-147
ENSG00000171657.6,7.35666241419246,1.3269653044590298e-11
ENSG00000189057.11,7.28901378412535,6.26093664604801e-28
ENSG00000090889.12,7.26491152573036,8.09318926522728e-33
ENSG00000170312.17,7.07564244312731,4.80551473593488e-31
ENSG00000136982.6,7.01757363967058,1.21160115613602e-20
ENSG00000186871.7,6.9388414733024,1.36730922581393e-10
ENSG00000197629.6,6.91827294080245,5.81511443396511e-10
ENSG00000155926.14,6.90445427512512,6.720937656055528e-302
ENSG00000111665.12,6.84417893121687,2.61121095916458e-10
ENSG00000065328.17,6.62174251864537,2.57664873177857e-18
ENSG00000024526.17,6.56979478915193,5.37349694814766e-14
ENSG00000093009.11,6.50281128815887,2.94257679450589e-34
ENSG00000267287.1,6.4921312043368,1.3396142486597e-09
ENSG00000145386.11,6.41644760245043,4.44041924564991e-45
ENSG00000148773.14,6.34509505318652,6.82606893071831e-172
ENSG00000168078.10,6.29471128311323,1.76962129638156e-09
ENSG00000080986.13,6.27594244406912,7.363251508998121e-35
ENSG00000131885.17,6.17753339294836,4.94441438648084e-08
ENSG00000231964.1,6.12799313523964,7.92874159295783e-08
ENSG00000122952.17,6.12228695011166,8.38424576561078e-69
ENSG00000132623.16,6.10987312271651,6.90941837884687e-08
ENSG00000170458.14,6.00427477610382,1.21845086059867e-121
ENSG00000109805.10,5.99997321485624,1.75323404196466e-73
ENSG00000127564.17,5.99901029945022,1.81317607162583e-28
ENSG00000072571.20,5.93957888262104,5.09266756851341e-38
ENSG00000186185.14,5.9211597317295,6.98658419219851e-35
ENSG00000066279.19,5.88990466260395,2.0693223254681305e-61
ENSG00000281883.1,5.84340996382133,1.61877154025542e-07
ENSG00000111206.13,5.80592715340622,1.73581687073993e-32
ENSG00000123485.12,5.80098367700502,8.97290171185328e-47
ENSG00000156970.13,5.74558468818875,1.2190757500517002e-66
ENSG00000101057.16,5.73226962425624,2.80989573002663e-117
ENSG00000168329.14,5.71021165941958,4.36583799692262e-07
ENSG00000257167.3,5.70712604986548,9.89996896471341e-17
ENSG00000204791.11,5.68024712866443,1.17130050216361e-06
ENSG00000012779.12,5.66679630545943,3.25114739149956e-186
ENSG00000198019.13,5.62268079844586,1.52906733799297e-06
ENSG00000171241.9,5.61151596380205,3.37679173098358e-79
ENSG00000112984.12,5.60844755833963,3.30059103229243e-24
ENSG00000253317.1,5.58466264104608,2.29677942379945e-06
ENSG00000143546.10,5.56988616330529,1.2669641745528e-41
ENSG00000289053.1,5.54213658021861,2.28236590221653e-06
ENSG00000129195.16,5.53503732386306,4.18351918133633e-06
ENSG00000146670.10,5.52949300438006,3.27507886352689e-83
ENSG00000169607.13,5.50492430119744,2.00681001819139e-46
ENSG00000165304.8,5.44739315032751,3.45208124818166e-56
ENSG00000237886.1,5.40492582899375,2.21113174680603e-06
ENSG00000143476.18,5.404458425883,1.01778447116956e-96
ENSG00000274422.1,5.39846583643396,1.16950970615063e-06
ENSG00000144354.14,5.38277257383435,4.08981606721635e-26
ENSG00000164045.12,5.37018735555791,1.88278002990648e-50
ENSG00000224950.2,5.36499636089272,1.28794715568562e-06
ENSG00000162878.13,5.36303943492387,3.4685968274740093e-34
ENSG00000011426.11,5.33471021998281,5.4595552268658e-120
ENSG00000187037.9,5.27732621953459,1.50019462116082e-11
ENSG00000282608.2,5.2454548936879,1.31271138705997e-16
ENSG00000189423.13,5.22279393863639,2.5927254614374e-05
ENSG00000143228.13,5.2057192899793,1.87996584492613e-46
ENSG00000139055.7,5.19404866642001,7.90494199163018e-06
ENSG00000121152.10,5.18602507488968,2.9880796469911906e-52
ENSG00000133246.12,5.1766724404545,3.17910581472444e-52
ENSG00000258728.2,5.17517416898675,1.77056717435485e-05
ENSG00000162062.15,5.16619292718531,2.51454502253115e-16
ENSG00000138180.16,5.16207519774016,2.05790032265124e-30
ENSG00000167900.12,5.1514724770421,7.02073446162168e-75
ENSG00000214357.9,5.13673066357664,1.50251911583606e-08
ENSG00000138160.7,5.12938657478529,2.02674719958362e-42
ENSG00000227825.4,5.11778550332901,2.76303209649575e-28
ENSG00000231007.5,5.11092256652327,1.05087667681883e-05
ENSG00000203872.7,5.06913713342566,3.44861222462561e-05
ENSG00000112742.10,5.06453921506305,4.7119536984364185e-56
ENSG00000279713.1,5.0530637922559,1.54376934881548e-05
ENSG00000180549.8,5.02353612523857,2.27115502875453e-19
ENSG00000270558.1,5.004226947672,4.44617849602736e-05
ENSG00000012048.23,4.98076025751524,5.29944628819462e-145
ENSG00000100162.15,4.96718263389857,3.16865439776415e-19
ENSG00000137812.21,4.963825013718,5.44818949926317e-67
ENSG00000108691.9,4.94926283627524,5.12646129076557e-38
ENSG00000089685.15,4.93259833157567,3.4484100294311094e-83
ENSG00000237649.8,4.91929381258217,2.26339786029378e-90
ENSG00000163126.15,4.91461859792962,7.43931431521055e-05
ENSG00000197275.14,4.91214421525227,4.19597701585462e-10
ENSG00000051341.15,4.90912016343105,2.0452423136957e-76
ENSG00000268521.1,4.90793701010277,6.465697361901e-05
ENSG00000279382.1,4.90620665351323,3.09245054378653e-05
ENSG00000274565.1,4.90409205460879,3.31351996187155e-05
ENSG00000169679.15,4.89653889352922,7.13906340688121e-75
ENSG00000229162.1,4.87351924062653,1.24977705634678e-07
ENSG00000152766.6,4.86025481557701,3.62024928484179e-05
ENSG00000254535.4,4.85345429803086,8.74167680842999e-05
ENSG00000260303.1,4.85189028065325,4.14384436615824e-05
ENSG00000196584.3,4.83329248568027,2.46730667073561e-33
ENSG00000121807.7,4.82287410911679,4.01317448402222e-05
ENSG00000135451.13,4.81866483304595,2.98086004501406e-13
ENSG00000163808.17,4.8180816728228,2.03172660320187e-52
ENSG00000097046.13,4.80885057322424,8.72486498419486e-41
ENSG00000088325.16,4.80382228260174,7.62140384001208e-104
ENSG00000259928.1,4.79484222267161,2.25115134857895e-05
ENSG00000142945.13,4.78952593451158,2.59430499751018e-41
ENSG00000287586.1,4.78871133049621,6.99975558906923e-05
ENSG00000129450.9,4.77226617920886,4.29292914063697e-65
ENSG00000261795.1,4.75526465821317,2.7368293027229598e-11
ENSG00000230778.2,4.74340685630309,3.67770957503366e-05
ENSG00000233539.5,4.74225217620549,3.4534880011469893e-28
ENSG00000275395.7,4.73350562625035,1.33694210123692e-21
ENSG00000076351.13,4.72158431373628,1.4645130861051802e-31
ENSG00000138778.14,4.70902234092162,4.94563169237038e-66
ENSG00000105011.9,4.67773394163652,1.27108907376421e-76
ENSG00000165480.16,4.6631831657596,4.72331794736156e-49
ENSG00000117399.14,4.66052647891454,2.0064973512025402e-180
ENSG00000158874.11,4.65416623356389,0.0001173713405827
ENSG00000255182.2,4.65341444673332,9.22319540065204e-05
ENSG00000126895.16,4.64632785685788,0.0005248567105713
ENSG00000175063.17,4.64508200299779,6.892625531645309e-28
ENSG00000085999.13,4.63799247745009,8.37171944042186e-41
ENSG00000287883.1,4.62742507078521,1.46584582258902e-08
ENSG00000126787.13,4.62231443182077,5.39712128250677e-46
ENSG00000232325.4,4.60764839765215,5.40835723122813e-05
ENSG00000173432.13,4.60288843325183,0.0003088753645248
ENSG00000267934.1,4.60107527803926,0.0001572911080046
