,logfc,p
ENSG00000169908.12,10.2251623317023,1.66408282492612e-43
ENSG00000149968.12,9.16033749918913,1.1357250458055299e-273
ENSG00000182901.18,8.73699899658405,1.5640055316475502e-15
ENSG00000164266.11,8.69699411514344,6.84745039140339e-16
ENSG00000187479.8,8.66779406999935,1.29673992245859e-16
ENSG00000235597.3,8.63555586422106,2.14295687880242e-15
ENSG00000164400.6,8.59821637922684,6.12219345875804e-60
ENSG00000108342.13,8.46987455938895,1.72049564242017e-87
ENSG00000215386.14,8.39418586481106,1.8698373826609099e-13
ENSG00000136696.11,8.2248475183789,2.51566606382004e-94
ENSG00000198576.4,8.11709889574187,3.93434451187675e-186
ENSG00000231023.8,8.03088542082709,1.01321101083267e-11
ENSG00000279217.1,8.02510863612448,4.73304459491422e-13
ENSG00000254101.8,8.02376777194173,2.22667492526312e-12
ENSG00000235142.11,8.01008365552688,3.52860838839711e-12
ENSG00000227835.8,7.92190778659343,2.72391056912328e-12
ENSG00000228208.7,7.91694309445517,1.70312381567227e-12
ENSG00000154556.18,7.91309501673072,1.9705737988774e-12
ENSG00000037965.6,7.88134025400031,2.8896734782288e-12
ENSG00000224982.4,7.87758061767443,2.1362189939915e-12
ENSG00000006071.16,7.87540609538038,1.59271909291341e-11
ENSG00000124440.16,7.8480648622517,1.91645934859715e-11
ENSG00000008196.13,7.83252141262208,2.67602436086469e-12
ENSG00000204677.13,7.80614045791166,4.28464567193443e-12
ENSG00000128655.19,7.79236149724307,6.18887776792053e-12
ENSG00000130226.17,7.77131848517941,5.41679385423985e-12
ENSG00000260599.1,7.74797838447806,4.82175685541272e-12
ENSG00000259905.7,7.73912527488315,8.40512332772669e-12
ENSG00000166473.17,7.72527390798378,5.5413025773833086e-12
ENSG00000286965.1,7.72330661045639,6.5059392251696896e-12
ENSG00000168772.11,7.71197056779026,1.93290729232479e-11
ENSG00000082497.12,7.71132744100176,5.5608215889092386e-11
ENSG00000170927.15,7.69350203317369,1.2464038713518698e-11
ENSG00000254277.2,7.68650706345099,1.75974276316329e-11
ENSG00000139910.20,7.6859831473616,9.88112553952226e-12
ENSG00000279774.1,7.68532078532211,1.3356267205401e-11
ENSG00000254567.2,7.68093269243063,1.0316528515077e-11
ENSG00000122641.11,7.63932017408962,3.7206677426365198e-301
ENSG00000124102.5,7.63724070832654,6.02358825532246e-78
ENSG00000215160.3,7.63633791655457,1.2043859079587198e-11
