gene_name,gene_id,logfc,p
CXCL11,ENSG00000169248.13,12.6932136289616,9.50053047767762e-08
CXCL10,ENSG00000169245.6,11.6125230565565,5.026767600298601e-10
CCL8,ENSG00000108700.5,10.9018679210913,6.06958260081213e-07
IDO1,ENSG00000131203.13,9.38931225207021,5.03395663371304e-07
IFIT1,ENSG00000185745.10,9.07558862262233,8.7531419095897e-08
TLR8,ENSG00000101916.12,8.88616925308737,1.65543603009305e-13
IFIT2,ENSG00000119922.11,8.18752112617864,8.07447546030453e-07
TRIM22,ENSG00000132274.16,7.95529558024534,3.86675225548522e-08
HAPLN3,ENSG00000140511.12,7.93813036905494,4.48952819116635e-05
MX1,ENSG00000157601.15,7.87662757581032,2.02413198890902e-07
CXCL9,ENSG00000138755.6,7.82166553332351,0.0063060814811667
TNFSF10,ENSG00000121858.11,7.71834644905407,1.64101676410998e-06
E2F8,ENSG00000129173.13,7.63717249600824,4.14466110799221e-11
XAF1,ENSG00000132530.17,7.59729860997299,3.58716567578856e-07
CCL2,ENSG00000108691.9,7.55458233336484,1.25996684867245e-14
SPC25,ENSG00000152253.9,7.42316591048503,4.52989261027e-10
APOBEC3A,ENSG00000128383.13,7.35037253554554,0.0027493718648859
IFIT3,ENSG00000119917.15,7.20280767499585,1.51791560826136e-06
OAS2,ENSG00000111335.14,7.15973689183399,3.52190777632701e-08
AIM2,ENSG00000163568.15,7.10882333942358,3.9202525913498e-07
GBP5,ENSG00000154451.15,7.06064426097655,5.3192607748031214e-09
RSAD2,ENSG00000134321.13,6.98669190708026,2.03158780192576e-05
OASL,ENSG00000135114.13,6.94245459683945,2.02856091592666e-05
TOP2A,ENSG00000131747.15,6.87773613778802,4.34565762924587e-47
FAM111B,ENSG00000189057.11,6.86534096084658,3.263332829515e-21
MPEG1,ENSG00000197629.6,6.82115606891088,6.28609277563797e-10
MIR223HG,ENSG00000274536.8,6.79274728898208,2.69253898803852e-08
KIF4A,ENSG00000090889.12,6.67102019424411,3.0380277254741203e-19
CDK1,ENSG00000170312.17,6.62216589818988,2.3972838691011e-22
SLA,ENSG00000155926.14,6.46925743429416,2.97141254541396e-80
DSCC1,ENSG00000136982.6,6.46461904670628,9.72586745540723e-14
GPR82,ENSG00000171657.6,6.3879389479512,8.11207734459751e-05
ERCC6L,ENSG00000186871.7,6.37211416125387,4.48126239454439e-08
MX2,ENSG00000183486.14,6.35795046958503,1.93338035536584e-07
GBP4,ENSG00000162654.9,6.3407232741369,1.31296324963372e-07
SAMD9L,ENSG00000177409.12,6.33957500312922,1.78274302218982e-08
CDCA3,ENSG00000111665.12,6.28587433278306,9.58550783366119e-08
UNC5C,ENSG00000182168.15,6.23606060748322,6.51596788971488e-06
LINC01914,ENSG00000234362.6,6.165080941702,6.41271928615965e-06
MCM10,ENSG00000065328.17,6.13137196829007,1.60714888172567e-13
CDC45,ENSG00000093009.11,6.08707314604445,2.54268635200671e-24
IFI44,ENSG00000137965.11,6.05064575868473,4.5509869881183e-06
GBP1,ENSG00000117228.11,6.04471730835474,7.0073276050448e-09
DEPDC1,ENSG00000024526.17,6.02806528607103,3.39957774052944e-10
IFITM1,ENSG00000185885.17,6.01614376334279,9.96878115739503e-05
EPSTI1,ENSG00000133106.15,6.0045169098001,4.37395868253198e-07
CCNA2,ENSG00000145386.11,5.97840531680301,7.32980594312726e-29
MKI67,ENSG00000148773.14,5.87092900006833,1.22919534262004e-51
SMPD5,ENSG00000204791.11,5.82519997172192,1.15356557350233e-07
ANKEF1,ENSG00000132623.16,5.78742379997044,2.07398878434458e-07
TNFSF13B,ENSG00000102524.12,5.78244719754235,2.07190683403925e-05
HERC5,ENSG00000138646.9,5.75951844870873,3.46002597996321e-05
PBK,ENSG00000168078.10,5.74415483665401,2.2391823254298706e-15
NDC80,ENSG00000080986.13,5.73134423240158,6.78623877573675e-20
GPR141,ENSG00000187037.9,5.70511054398704,1.65746658395042e-12
KRT17P1,ENSG00000131885.17,5.67005649228711,1.43529094297232e-06
USP18,ENSG00000184979.10,5.66210216933057,6.49821696614784e-06
S100A8,ENSG00000143546.10,5.64303213848839,7.860120659065281e-54
ZWINT,ENSG00000122952.17,5.63219228831264,4.7392157233857095e-33
PARP9,ENSG00000138496.17,5.58573577756936,9.01489975036602e-08
PKMYT1,ENSG00000127564.17,5.56920017348849,6.25393816677136e-20
STAT4,ENSG00000138378.19,5.56692181773397,2.12119162807114e-06
NCAPG,ENSG00000109805.10,5.54884832111171,1.83019509759302e-32
CH25H,ENSG00000138135.7,5.50522953486715,0.0006157549166708
LAMP3,ENSG00000078081.8,5.44164368271818,0.000110831863108
CD14,ENSG00000170458.14,5.43381756069573,1.2364245183011099e-41
OAS1,ENSG00000089127.15,5.42876920061816,1.42844170290469e-06
ASPM,ENSG00000066279.19,5.40425398124948,1.57390656852593e-30
KIF18B,ENSG00000186185.14,5.38869519949819,6.485677982282073e-19
FCGR1B,ENSG00000198019.13,5.38811316156065,1.36652799898295e-06
