gene_name,gene_id,logfc,p
TM4SF1,ENSG00000169908.12,8.85320435051746,1.91881085509775e-145
LINC01102,ENSG00000235597.3,8.65411785214084,1.40405063888523e-28
MIR99AHG,ENSG00000215386.14,8.05251941496624,1.86426331995196e-20
LINC00326,ENSG00000231023.8,8.05070243053347,1.15594558485356e-17
CRX,ENSG00000105392.16,7.95243310521035,1.1638895592513001e-21
CARM1P1,ENSG00000227835.8,7.94058822956176,2.81256158515048e-21
TMEM233,ENSG00000224982.4,7.89593565910727,2.7329845363627697e-22
LINC00534,ENSG00000253394.7,7.85638947303403,1.6944465586460202e-19
TFAP2B,ENSG00000008196.13,7.85107869244097,2.73726970171914e-22
PKD1L2,ENSG00000166473.17,7.74385481075771,7.42237477394086e-22
PKHD1,ENSG00000170927.15,7.7118943099248,1.6605877024366e-20
NOVA1,ENSG00000139910.20,7.70419061630868,4.59918728757165e-21
UBTFL9,ENSG00000254567.2,7.69924253181005,4.9107105623623104e-21
LINC02055,ENSG00000254101.8,7.68243449490208,3.65391252073395e-19
OR7E122P,ENSG00000215160.3,7.65462184433587,3.84629242089106e-21
BPIFB1,ENSG00000125999.11,7.62173463590484,1.1168486180621899e-18
ARC,ENSG00000198576.4,7.61864954553842,4.39444686184587e-266
RBFOX1,ENSG00000078328.23,7.61560594203832,3.2686441148829497e-18
RPL32P28,ENSG00000232105.1,7.58208039988159,6.19225106533465e-20
CADPS,ENSG00000163618.18,7.57993356818709,4.9342316943377305e-20
SLC22A10,ENSG00000184999.13,7.57951026859958,4.3828475469729e-13
LINC02869,ENSG00000228208.7,7.57448128634562,1.40587480689831e-20
LINC00470,ENSG00000132204.14,7.57070010318173,5.847966629634991e-17
HOXC8,ENSG00000037965.6,7.53900387483611,6.36810889013385e-20
OR8B7P,ENSG00000254976.1,7.52907887678189,2.5640075554385103e-19
MEIS1,ENSG00000143995.20,7.52806651837854,6.2354222772500605e-21
MMP3,ENSG00000149968.12,7.52035354235556,1.43490924612658e-41
SOX1-OT,ENSG00000224243.2,7.51041931426338,7.400651032215793e-19
HIF3A,ENSG00000124440.16,7.50665815650486,6.53262649139601e-17
TPT1P8,ENSG00000219491.7,7.4914365642555,1.45727403000756e-20
Y_RNA,ENSG00000206659.1,7.47554747574844,7.672814121104431e-20
NLRP9P1,ENSG00000256581.1,7.45683414665823,5.22986276218776e-17
SCN1A,ENSG00000144285.23,7.44330062492294,1.82187525724815e-16
DPP6,ENSG00000130226.17,7.42900685848087,1.00152803514224e-19
RP1,ENSG00000104237.11,7.39755440776717,5.68721769698552e-20
SHANK2,ENSG00000162105.21,7.39496263050259,3.10111421364336e-18
WASF3-AS1,ENSG00000237001.7,7.37060100724093,1.1363894626784499e-18
SERTAD4,ENSG00000082497.12,7.36933524126784,3.39925771323451e-16
LINC01533,ENSG00000267779.7,7.35173374341545,2.48136722727017e-15
LINC02532,ENSG00000235142.11,7.3058440176823,1.09907067719529e-16
DLX6-AS1,ENSG00000231764.11,7.30215255430798,9.83844439360634e-18
LINC02345,ENSG00000259225.8,7.28824446133881,1.88561804697825e-16
LINC00279,ENSG00000286217.2,7.27803677835423,1.32217528016641e-16
SI,ENSG00000090402.8,7.26492719451243,5.08539762400768e-16
FREM1,ENSG00000164946.20,7.26032090890426,4.2987684948258503e-17
TFAP2D,ENSG00000008197.5,7.24611620167157,4.21793493157237e-18
LINC01551,ENSG00000186960.14,7.24323820415643,6.89537689675216e-19
SORBS2,ENSG00000154556.18,7.2100319772552,1.9735630583238e-18
GRIN2A,ENSG00000183454.18,7.20776609458217,2.16106650907801e-16
ESRRG,ENSG00000196482.18,7.20052389881831,1.2013191779766e-17
SYT14,ENSG00000143469.20,7.18847146514233,1.82938359218491e-13
LINC01550,ENSG00000246223.10,7.17790942830162,6.4537947209490094e-18
ABCC8,ENSG00000006071.16,7.17239359737924,2.7098724889810504e-15
MIR4527HG,ENSG00000267761.3,7.16493399885532,4.6742418240948304e-14
ATP8A2,ENSG00000132932.19,7.16085541625748,1.72337102528897e-16
