gene_name,gene_id,logfc,p
RGS4,ENSG00000117152.14,6.19503496475915,1.42375528376731e-08
GPR34,ENSG00000171659.16,5.41961637565107,2.5313043410479e-05
PLCB2-AS1,ENSG00000259307.1,4.59747995159749,0.0012491125766973
LGALS12,ENSG00000133317.16,4.3712258912128,0.0003471049509952
GPR82,ENSG00000171657.6,4.30200299218813,9.9001987905631e-22
DDIT4L,ENSG00000145358.6,4.29819401640894,0.0
FFAR4,ENSG00000186188.11,4.26627840233589,0.0054101586305312
SLC1A7,ENSG00000162383.13,4.06257789846985,0.0179046562212016
RGS6,ENSG00000182732.18,4.06155352161664,0.0130837781690511
GPA33,ENSG00000143167.12,4.04692512906516,0.0111440798592221
KLRK1-AS1,ENSG00000245648.2,3.90266325382111,0.0083556869500504
LCNL1,ENSG00000214402.7,3.88388984756277,0.0002583086188948
RSPO1,ENSG00000169218.14,3.86628739899332,0.0080537197184716
LPAR5,ENSG00000184574.10,3.85703228741285,1.70592608297217e-13
TIGD4,ENSG00000169989.3,3.82170920357609,0.0255711205689681
LINC01736,ENSG00000228058.3,3.71112779924311,0.0325609030878843
KRT80,ENSG00000167767.14,3.65344063634466,0.0393003257549026
LINC00327,ENSG00000232977.7,3.58729011620616,0.0277142059641202
TTPA,ENSG00000137561.5,3.5767546383982,0.0497679020747493
LINC01132,ENSG00000227630.4,3.53977151077556,0.0491079358861808
FLJ40194,ENSG00000177369.10,3.53712019418822,0.0202869192798506
ZNF280A,ENSG00000169548.3,3.50463073280176,0.0122870591266752
PLA2G2C,ENSG00000187980.7,3.48206916952916,0.0113681503608072
CHAD,ENSG00000136457.10,3.46921443866288,0.0137715402363986
FGL1,ENSG00000104760.17,3.37799796841136,3.79041214444431e-05
BCRP3,ENSG00000215481.9,3.32810241584662,0.0196272852887532
NLRP12,ENSG00000142405.22,3.28543774888764,1.40431125798591e-19
NMUR1,ENSG00000171596.7,3.28510436798195,2.12094771815042e-05
LINC02910,ENSG00000176659.10,3.27445499149582,3.74535606328185e-28
IPCEF1,ENSG00000074706.14,3.2724768469517,6.53872395439525e-143
