gene_name,gene_id,logfc,p
CXCL11,ENSG00000169248.13,13.6996629138313,1.76194407314376e-35
CXCL10,ENSG00000169245.6,12.6002096261539,9.49652993581128e-90
CCL8,ENSG00000108700.5,11.8994897635963,6.5716127812917e-42
IDO1,ENSG00000131203.13,10.4092856833415,1.43247278630565e-119
IFIT1,ENSG00000185745.10,10.1137013699009,1.46004159445652e-228
TLR8,ENSG00000101916.12,9.57340541745213,9.30177838944071e-20
IFIT2,ENSG00000119922.11,9.2212335869882,3.2177963894096004e-237
TRIM22,ENSG00000132274.16,8.94774766539932,2.6254171278324e-102
HAPLN3,ENSG00000140511.12,8.93401782140489,4.151723189524512e-17
MX1,ENSG00000157601.15,8.87979250734652,0.0
CXCL9,ENSG00000138755.6,8.8294068324485,3.71663728923507e-16
TNFSF10,ENSG00000121858.11,8.73841732239395,2.6322158190577103e-97
XAF1,ENSG00000132530.17,8.59174734878497,8.396987064980931e-39
CCL2,ENSG00000108691.9,8.44954906750274,8.91613733250151e-115
APOBEC3A,ENSG00000128383.13,8.36967065707479,6.55763147176664e-24
IFIT3,ENSG00000119917.15,8.21786673734403,6.26111026050234e-231
TNFSF8,ENSG00000106952.8,8.15808482549195,2.59879056689126e-14
OAS2,ENSG00000111335.14,8.154123743141,0.0
AIM2,ENSG00000163568.15,8.10215648539967,2.35692271603313e-106
GBP5,ENSG00000154451.15,8.046036655762,0.0
RSAD2,ENSG00000134321.13,7.99559040071711,0.0
OASL,ENSG00000135114.13,7.96246673478211,3.27053938718398e-215
GPR31,ENSG00000120436.4,7.68626165162654,1.2017051601390999e-12
MX2,ENSG00000183486.14,7.34593824549904,0.0
GBP4,ENSG00000162654.9,7.32617206434579,0.0
SAMD9L,ENSG00000177409.12,7.30727813973621,0.0
UNC5C,ENSG00000182168.15,7.18679101664619,4.11445832473384e-37
IFI44,ENSG00000137965.11,7.04656665571439,0.0
IFITM1,ENSG00000185885.17,6.99719371617851,2.6117832990684402e-24
LINC01914,ENSG00000234362.6,6.99449054365897,2.80426844446742e-10
GBP1,ENSG00000117228.11,6.99358619979489,2.07870113691497e-171
EPSTI1,ENSG00000133106.15,6.95844330586821,2.19124025460727e-276
TNFSF13B,ENSG00000102524.12,6.78610435285757,3.73595434664335e-163
MPEG1,ENSG00000197629.6,6.76390767940253,2.5874990775388503e-09
HERC5,ENSG00000138646.9,6.74808247492048,0.0
E2F8,ENSG00000129173.13,6.72997476636627,6.47680407089108e-10
USP18,ENSG00000184979.10,6.61604501515138,8.59185568699626e-131
STAT4,ENSG00000138378.19,6.5425430729183,7.82293550725421e-113
PARP9,ENSG00000138496.17,6.54222197914794,0.0
CH25H,ENSG00000138135.7,6.48051122806451,1.49549663852774e-09
LAMP3,ENSG00000078081.8,6.43904470061616,0.0
OAS1,ENSG00000089127.15,6.39598530722415,0.0
FAM111B,ENSG00000189057.11,6.34569091536429,9.90430653749328e-21
SPC25,ENSG00000152253.9,6.30309314993432,1.02566323288257e-08
CMPK2,ENSG00000134326.12,6.30046910347886,0.0
ITGB8,ENSG00000105855.10,6.28532664877151,0.0
ANO7L1,ENSG00000237276.9,6.26802624474127,1.77316475557895e-12
AQP9,ENSG00000103569.10,6.25021741544025,1.13689803921339e-67
IFNB1,ENSG00000171855.7,6.24960057127302,2.79783694870525e-08
GBP1P1,ENSG00000225492.6,6.23019887942539,7.06646282893536e-52
SERPINB9,ENSG00000170542.6,6.22244800434041,3.16234745319719e-52
HEATR9,ENSG00000270379.6,6.21310361415052,1.4298788806138102e-15
IL6,ENSG00000136244.12,6.15259738762422,1.2983977799613101e-93
ISG15,ENSG00000187608.10,6.13797975267254,0.0
FGL2,ENSG00000127951.8,6.07432983342545,6.69244342768687e-15
GPR141,ENSG00000187037.9,6.06672342065108,3.326665992723881e-15
CDK1,ENSG00000170312.17,6.06628735480373,1.16593189693708e-22
SAMD9,ENSG00000205413.8,6.05234611985411,0.0
CCDC194,ENSG00000269720.2,6.04460487488025,2.43391698494771e-08
CALHM5,ENSG00000178033.6,6.01933846550203,2.78585924065836e-15
SMPD5,ENSG00000204791.11,6.00014733041947,1.2724715724713e-07
TOP2A,ENSG00000131747.15,5.99559750674557,1.08893103358767e-94
IL18RAP,ENSG00000115607.10,5.97627119662882,3.90333184816836e-29
TMPRSS13,ENSG00000137747.16,5.94526601135272,4.17472470234519e-08
NEXN,ENSG00000162614.19,5.93862930174347,1.39417498191128e-10
SLA,ENSG00000155926.14,5.91465612075535,5.435359196169061e-180
TMEM171,ENSG00000157111.13,5.87570014963276,4.4623435756252185e-56
TLDC2,ENSG00000101342.10,5.85917526738233,2.21762463284655e-07
CCL13,ENSG00000181374.8,5.84348496377003,1.22317311895255e-07
PARP14,ENSG00000173193.15,5.81365799759194,0.0
MUC1,ENSG00000185499.17,5.79599359513792,1.72767290887876e-10
KIF4A,ENSG00000090889.12,5.78339326514571,1.12126097952821e-20
S100A8,ENSG00000143546.10,5.75409300326813,2.6236043843424798e-42
SIGLEC1,ENSG00000088827.13,5.72445416346176,1.08164060931404e-142
REC8,ENSG00000100918.14,5.65882995209845,4.37070564782596e-60
DSCC1,ENSG00000136982.6,5.61902611982736,4.99308102944536e-13
CDC45,ENSG00000093009.11,5.60367108412046,2.9280182100893e-25
IRF9,ENSG00000213928.9,5.57402145203206,1.06087019251157e-45
PRAL,ENSG00000279296.1,5.55118628616193,3.01495607388201e-06
ERCC6L,ENSG00000186871.7,5.54119905356022,1.21220966990904e-06
IFIT1B,ENSG00000204010.3,5.53423988709853,2.36898997693924e-06
CYP2J2,ENSG00000134716.11,5.5187901118621,1.19628696155146e-06
HESX1,ENSG00000163666.10,5.48078778897534,8.92394219259376e-23
MCM10,ENSG00000065328.17,5.47886818851572,1.14142258576994e-12
CDCA3,ENSG00000111665.12,5.47226218575696,3.55444401735165e-06
PDGFRL,ENSG00000104213.13,5.4416200004059,3.78706061161963e-111
ANKEF1,ENSG00000132623.16,5.43608101967238,4.86215078723945e-06
CCNA2,ENSG00000145386.11,5.43427495699275,8.62639861777793e-32
RTP4,ENSG00000136514.3,5.4313027489848,2.22491854403576e-77
IDO2,ENSG00000188676.14,5.42361171426239,1.06739806438771e-17
SIM1,ENSG00000112246.10,5.40623496223089,5.631104741497697e-35
RIN2,ENSG00000132669.14,5.39149119087033,3.6113499541929605e-182
MIR223HG,ENSG00000274536.8,5.38807430593248,1.0897417881385e-06
DNAI3,ENSG00000162643.13,5.33241703839346,6.0566737668026396e-33
BATF2,ENSG00000168062.10,5.32573285382168,9.58721579496934e-198
UNC5C-AS1,ENSG00000271474.1,5.32204243592337,7.64604628559629e-06
IFIH1,ENSG00000115267.9,5.31750583951127,0.0
MCOLN2,ENSG00000153898.13,5.30555653334451,0.0
FCAMR,ENSG00000162897.16,5.30198328953291,2.27319273883441e-138
CCL1,ENSG00000108702.4,5.29300143778176,4.66316466401595e-14
ANKRD22,ENSG00000152766.6,5.29277653737373,1.17665421614883e-05
OR52K3P,ENSG00000225101.7,5.29276720695774,8.33075142674976e-20
FAM72A,ENSG00000196550.11,5.28846102766139,1.77105675897965e-14
AMOTL2,ENSG00000114019.15,5.27311668442371,2.8840674020540697e-18
IFIT5,ENSG00000152778.10,5.27031834139331,6.40676772149857e-154
GPR88,ENSG00000181656.7,5.25089909717819,5.23611150093748e-06
DEPDC1,ENSG00000024526.17,5.24513180983487,6.4297482760499e-09
RNA5SP39,ENSG00000223177.1,5.22907067493127,6.43670340792158e-06
SPTBN5,ENSG00000137877.10,5.21402097157129,2.84322614048998e-29
MKI67,ENSG00000148773.14,5.21235066834064,9.82597298137948e-112
RN7SL834P,ENSG00000243650.3,5.19806526087212,5.9925555683715e-06
ZDHHC4P1,ENSG00000238025.1,5.18176461141757,1.59071240314915e-05
CCL7,ENSG00000108688.11,5.16625610645314,4.9740745463790695e-30
TRIM14,ENSG00000106785.15,5.16614378143966,0.0
FCGR1B,ENSG00000198019.13,5.15967517256335,2.38918701822885e-05
CASP5,ENSG00000137757.11,5.15254260385602,5.915212653335291e-117
MNDA,ENSG00000163563.8,5.14417046080442,1.1501956284674e-07
TMSB4XP1,ENSG00000236876.3,5.12665560919836,9.80338005204805e-06
PLPPR4,ENSG00000117600.14,5.10899591797849,4.87365463604857e-06
CYP7B1,ENSG00000172817.4,5.0950635667216,0.0
PKMYT1,ENSG00000127564.17,5.0644277567117,7.27536826843804e-20
IFI44L,ENSG00000137959.17,5.06066320701928,4.46360585662136e-134
ACOD1,ENSG00000102794.10,5.02681316672548,3.97013046998674e-301
STAT2,ENSG00000170581.14,5.01854595583739,0.0
HERC6,ENSG00000138642.16,5.00770705482459,0.0
SCO2,ENSG00000284194.3,5.00095340354003,4.78040580845419e-08
ZWINT,ENSG00000122952.17,4.98919194544751,5.85195169687207e-45
GRIN3A,ENSG00000198785.7,4.98766614217896,7.6937468145492e-15
PI15,ENSG00000137558.9,4.98663623038623,1.63408916945447e-12
APOBEC3B,ENSG00000179750.16,4.97765606077688,1.06144485666744e-16
ST8SIA4,ENSG00000113532.13,4.97701463212197,0.0
KRT17P1,ENSG00000131885.17,4.97522064604982,8.96668492204903e-05
PLSCR1,ENSG00000188313.13,4.9731774303717,0.0
S100A12,ENSG00000163221.9,4.970213349563,5.8539598345528904e-15
SEMA3D,ENSG00000153993.14,4.96061382497689,3.10568440557278e-241
DDX58,ENSG00000107201.11,4.95480463117828,2.5179432626242997e-58
NDC80,ENSG00000080986.13,4.94993819988533,2.39382062779574e-21
THEMIS2,ENSG00000130775.16,4.93935743535392,0.0
FAM72D,ENSG00000215784.6,4.93653489690729,3.52324584619347e-05
NCAPG,ENSG00000109805.10,4.93415674471606,1.20641251549603e-47
CFB,ENSG00000243649.9,4.91251044144923,1.45094649223708e-05
CCDC200,ENSG00000236383.9,4.87037336146604,3.52289440177864e-38
RXFP1,ENSG00000171509.16,4.86436747632457,1.8440702511955e-29
PBK,ENSG00000168078.10,4.86201286734821,3.83561346864806e-06
FXYD6,ENSG00000137726.17,4.85484716860395,4.49259914256991e-09
