gene_name,gene_id,logfc,p
CRX,ENSG00000105392.16,8.64503588583426,1.0170237539687801e-14
LINC01102,ENSG00000235597.3,8.62565886561711,2.1708794749135503e-15
MEIS1,ENSG00000143995.20,8.58142633755937,5.746736515523321e-15
LINC00534,ENSG00000253394.7,8.18887935317157,9.10843503921222e-13
TM4SF1,ENSG00000169908.12,8.13166340796642,7.077757213944159e-108
LINC00326,ENSG00000231023.8,8.02041768576389,1.1056660088095399e-11
CARM1P1,ENSG00000227835.8,7.91167957973935,2.7832061390236097e-12
TMEM233,ENSG00000224982.4,7.867542978556,2.1531601238330398e-12
TPT1P8,ENSG00000219491.7,7.82384386580588,2.5393478790436398e-12
TFAP2B,ENSG00000008196.13,7.82268968741173,2.6911259310270897e-12
CCDC190,ENSG00000185860.14,7.76188219015017,1.0048419436512199e-11
RP1,ENSG00000104237.11,7.72939030875529,5.50404251703602e-12
PKD1L2,ENSG00000166473.17,7.71544159927538,5.54880557799286e-12
PKHD1,ENSG00000170927.15,7.68388554000488,1.2620642527027799e-11
NOVA1,ENSG00000139910.20,7.67588320932377,9.920002908564167e-12
UBTFL9,ENSG00000254567.2,7.67095764382892,1.0350012090172298e-11
MIR99AHG,ENSG00000215386.14,7.66302207865192,2.08174083579898e-11
OR7E122P,ENSG00000215160.3,7.62635784336749,1.2046289373387299e-11
LINC02345,ENSG00000259225.8,7.62110212380901,7.140661022726739e-11
BPIFB1,ENSG00000125999.11,7.59190300826482,4.6263640552373795e-11
RBFOX1,ENSG00000078328.23,7.58630278951167,5.980582989637409e-11
POU2F3,ENSG00000137709.10,7.56850316675246,2.36354032985115e-10
RPL32P28,ENSG00000232105.1,7.5534923659172,3.08297110189607e-11
CADPS,ENSG00000163618.18,7.55147459506162,2.9787190409603e-11
SLC22A10,ENSG00000184999.13,7.54887878373313,1.2356143826317402e-09
LINC00470,ENSG00000132204.14,7.54083731333965,1.396940264144e-10
GRIN2A,ENSG00000183454.18,7.53943164560283,1.02096826102209e-10
ESRRG,ENSG00000196482.18,7.53285288213455,5.000632069171309e-11
SOX11,ENSG00000176887.7,7.5023496892394,6.05426619936615e-11
OR8B7P,ENSG00000254976.1,7.50059962412104,5.3721291674194895e-11
ATP8A2,ENSG00000132932.19,7.49378365048848,1.19089187150609e-10
SOX1-OT,ENSG00000224243.2,7.48156012401263,7.269853733568139e-11
Y_RNA,ENSG00000206659.1,7.44717688102292,5.329700501539658e-11
NLRP9P1,ENSG00000256581.1,7.42800215579191,2.30211226250783e-10
SCN1A,ENSG00000144285.23,7.41561480439722,3.19509141470862e-10
GNAO1,ENSG00000087258.16,7.38613692958697,3.71384808419719e-10
SHANK2,ENSG00000162105.21,7.36658945266227,1.6997920592398901e-10
LINC02487,ENSG00000203688.6,7.36459449398719,1.80478116544816e-10
WASF3-AS1,ENSG00000237001.7,7.34235693090508,1.53713162835898e-10
LINC01533,ENSG00000267779.7,7.3222288356743,8.917005074815881e-10
BNC2,ENSG00000173068.18,7.30361787840688,2.19401383933983e-10
LINC02055,ENSG00000254101.8,7.29194636088127,1.93707973990987e-10
DLX6-AS1,ENSG00000231764.11,7.27397484812734,3.35973201337858e-10
ALDH1L1,ENSG00000144908.14,7.26065920309292,6.359135478559091e-09
LINC00279,ENSG00000286217.2,7.24975707484266,6.51988198513884e-10
SI,ENSG00000090402.8,7.23505635094343,9.16014171000682e-10
CCDC33,ENSG00000140481.15,7.2295737746456,7.29772842999249e-10
TFAP2D,ENSG00000008197.5,7.21783415579908,3.5810961901028603e-10
ARC,ENSG00000198576.4,7.21531993313759,3.8004737725581e-260
LINC02869,ENSG00000228208.7,7.18545335277712,1.66576584509377e-10
SYT14,ENSG00000143469.20,7.15990107243659,5.0892805584909505e-09
HOXC8,ENSG00000037965.6,7.14969224985237,2.61009624621999e-10
MIR4527HG,ENSG00000267761.3,7.13812040822492,3.78425680405441e-09
HIF3A,ENSG00000124440.16,7.1163370142103,1.2268776370652701e-09
CLLU1,ENSG00000257127.6,7.11530821680208,1.18724419957622e-09
SMIM42,ENSG00000288460.1,7.10886646444987,6.424371004851451e-09
ZAN,ENSG00000146839.19,7.08499207811418,1.1546301830213702e-09
ZNF863P,ENSG00000236538.1,7.08161044401624,1.55316574794282e-08
SOX9,ENSG00000125398.8,7.04927374369025,1.6813120420845e-09
EFNA2,ENSG00000099617.4,7.04638936121471,6.256345132247021e-09
KCNH5,ENSG00000140015.20,7.04074606816593,3.05140238440348e-09
DPP6,ENSG00000130226.17,7.03999896573611,4.66026011100744e-10
ARLNC1,ENSG00000260896.6,7.03409854962827,4.85655117333338e-10
BLK,ENSG00000136573.14,7.02931584906063,1.66205557852433e-08
NCMAP,ENSG00000184454.7,7.01967056129136,2.40564807830777e-09
HOXB-AS1,ENSG00000230148.8,7.01375418031057,4.87100666051765e-09
SERTAD4,ENSG00000082497.12,6.97984160087622,3.1252721889279503e-09
SEC14L3,ENSG00000100012.12,6.97938380905417,2.40447393267267e-09
FGF14,ENSG00000102466.16,6.97872869759822,2.88015617950077e-08
LINC01251,ENSG00000233776.5,6.97694417430094,2.56551658762172e-09
DPY19L4P2,ENSG00000231839.1,6.97573583746523,3.56666373068799e-09
LIMCH1,ENSG00000064042.18,6.97210568738632,7.38595286642254e-10
NFASC,ENSG00000163531.17,6.97175090552935,7.47051471429391e-10
PLD5,ENSG00000180287.17,6.94938454304476,5.9326070767890404e-09
LINC01111,ENSG00000254300.1,6.94928453800251,5.1668966893967905e-09
TAT,ENSG00000198650.11,6.94921491785534,2.19467782136958e-08
DPPA4,ENSG00000121570.13,6.94297190750305,3.70949451323377e-09
ADD3-AS1,ENSG00000203876.10,6.94254964254809,1.69861936504678e-08
RN7SL580P,ENSG00000240641.3,6.93732710792168,7.38853201550506e-09
RGS6,ENSG00000182732.18,6.93732710792168,7.38853201550506e-09
GIPC2,ENSG00000137960.6,6.93492700473845,4.7543913567378805e-09
RPS6P20,ENSG00000226356.2,6.90533433317057,1.36306900556359e-08
GALNTL5,ENSG00000106648.14,6.90285279252388,7.11006098245872e-09
ASXL3,ENSG00000141431.13,6.90197473342009,6.5745710830939204e-09
PCDHA4,ENSG00000204967.12,6.89251870099225,5.690508527308411e-09
FREM1,ENSG00000164946.20,6.87000818077551,3.15446033980976e-09
SLC35G3,ENSG00000164729.8,6.86420716279555,5.59979564051927e-09
BARX2,ENSG00000043039.7,6.86356504352581,1.62707698567466e-08
RNU6-536P,ENSG00000200254.1,6.86319956456347,6.435067189955571e-09
PANTR1,ENSG00000233639.8,6.86121646481945,8.64030104909792e-08
TRDN-AS1,ENSG00000235535.9,6.85582323194331,1.06348682090722e-08
LINC01551,ENSG00000186960.14,6.85403653665456,1.5005533871830302e-09
TMEM225,ENSG00000204300.7,6.85320009219151,4.73540009493049e-08
KRT16,ENSG00000186832.9,6.85155306894395,7.81953803053852e-09
CD96,ENSG00000153283.13,6.84088208240044,4.31511450224337e-08
LRRTM4,ENSG00000176204.14,6.83664715010449,2.8128202725038e-08
DEFB118,ENSG00000131068.4,6.83635170303392,2.39320853312118e-08
PROM1,ENSG00000007062.12,6.83138264504675,3.21588189578497e-09
LINC01990,ENSG00000273125.2,6.82811112630684,1.82712243689931e-08
LINC00507,ENSG00000256193.6,6.82199889566977,1.05648906970088e-08
ANKS1B,ENSG00000185046.20,6.82080297304228,1.35164831667936e-08
KIAA0895LP1,ENSG00000264714.1,6.81588665392183,5.15040121175933e-08
TARID,ENSG00000227954.7,6.79051888907377,2.14198229661807e-07
