gene_name,gene_id,logfc,p
TM4SF1,ENSG00000169908.12,10.2251623317023,1.66408282492612e-43
MMP3,ENSG00000149968.12,9.16033749918913,1.1357250458055299e-273
RGS7,ENSG00000182901.18,8.73699899658405,1.5640055316475502e-15
SPINK1,ENSG00000164266.11,8.69699411514344,6.84745039140339e-16
C11orf96,ENSG00000187479.8,8.66779406999935,1.29673992245859e-16
LINC01102,ENSG00000235597.3,8.63555586422106,2.14295687880242e-15
CSF2,ENSG00000164400.6,8.59821637922684,6.12219345875804e-60
CSF3,ENSG00000108342.13,8.46987455938895,1.72049564242017e-87
MIR99AHG,ENSG00000215386.14,8.39418586481106,1.8698373826609099e-13
IL36B,ENSG00000136696.11,8.2248475183789,2.5156660638200397e-94
ARC,ENSG00000198576.4,8.11709889574187,3.93434451187675e-186
LINC00326,ENSG00000231023.8,8.03088542082709,1.0132110108326699e-11
LINC02055,ENSG00000254101.8,8.02376777194173,2.22667492526312e-12
LINC02532,ENSG00000235142.11,8.01008365552688,3.52860838839711e-12
CARM1P1,ENSG00000227835.8,7.92190778659343,2.7239105691232798e-12
LINC02869,ENSG00000228208.7,7.91694309445517,1.7031238156722699e-12
SORBS2,ENSG00000154556.18,7.91309501673072,1.9705737988774e-12
HOXC8,ENSG00000037965.6,7.88134025400031,2.8896734782288e-12
TMEM233,ENSG00000224982.4,7.87758061767443,2.1362189939915e-12
ABCC8,ENSG00000006071.16,7.87540609538038,1.59271909291341e-11
HIF3A,ENSG00000124440.16,7.8480648622517,1.91645934859715e-11
TFAP2B,ENSG00000008196.13,7.83252141262208,2.67602436086469e-12
FAM153CP,ENSG00000204677.13,7.80614045791166,4.28464567193443e-12
PDE11A,ENSG00000128655.19,7.79236149724307,6.18887776792053e-12
DPP6,ENSG00000130226.17,7.77131848517941,5.41679385423985e-12
PWRN1,ENSG00000259905.7,7.73912527488315,8.40512332772669e-12
PKD1L2,ENSG00000166473.17,7.72527390798378,5.541302577383309e-12
CXXC4,ENSG00000168772.11,7.71197056779026,1.93290729232479e-11
SERTAD4,ENSG00000082497.12,7.71132744100176,5.560821588909239e-11
PKHD1,ENSG00000170927.15,7.69350203317369,1.2464038713518698e-11
NOVA1,ENSG00000139910.20,7.6859831473616,9.88112553952226e-12
UBTFL9,ENSG00000254567.2,7.68093269243063,1.0316528515077e-11
INHBA,ENSG00000122641.11,7.63932017408962,3.7206677426365198e-301
PI3,ENSG00000124102.5,7.63724070832654,6.02358825532246e-78
OR7E122P,ENSG00000215160.3,7.63633791655457,1.2043859079587198e-11
WTAPP1,ENSG00000255282.6,7.61831794463932,5.6802744531286185e-11
BPIFB1,ENSG00000125999.11,7.60221588442597,4.5534457084642094e-11
FREM1,ENSG00000164946.20,7.60207246662471,5.2121429497628096e-11
RBFOX1,ENSG00000078328.23,7.59666349867391,5.853996622455749e-11
LINC01551,ENSG00000186960.14,7.58525511238547,2.00835274262794e-11
LINC01562,ENSG00000203356.2,7.58291224157909,1.02720189263827e-10
RPL32P28,ENSG00000232105.1,7.5633378764377,3.07226604717367e-11
CADPS,ENSG00000163618.18,7.56127278091898,2.97303425819645e-11
SLC22A10,ENSG00000184999.13,7.5590655571129,1.1133383408173602e-09
LINC00470,ENSG00000132204.14,7.55131948927007,1.34698138051487e-10
LINC01550,ENSG00000246223.10,7.5204958296791,4.6877126216815696e-11
