Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
defense response to virus (GO:0051607)	35/133	1.385607725518763E-24	1.7752526533091293E-21	0	0	13.287774725274724	729.9759086750375	RTP4;IFITM1;IFIT5;NLRC5;IFIT1;SAMHD1;IFI44L;IFIT3;IFIT2;OASL;IFIH1;IFI16;RSAD2;DDX58;IFNB1;STAT1;MX2;STAT2;MX1;ACOD1;EIF2AK2;ISG15;ISG20;CXCL10;IL6;PLSCR1;IFI27;OAS1;OAS2;OAS3;TLR8;TLR7;APOBEC3A;MYD88;APOBEC3B
defense response to symbiont (GO:0140546)	34/124	1.4635223852507248E-24	1.7752526533091293E-21	0	0	14.034335679249306	770.2211286742206	RTP4;IFITM1;IFIT5;NLRC5;IFIT1;SAMHD1;IFI44L;IFIT3;IFIT2;OASL;IFIH1;IFI16;RSAD2;DDX58;IFNB1;STAT1;MX2;STAT2;MX1;ACOD1;EIF2AK2;ISG15;ISG20;IL6;PLSCR1;IFI27;OAS1;OAS2;OAS3;TLR8;TLR7;APOBEC3A;MYD88;APOBEC3B
cellular response to type I interferon (GO:0071357)	23/65	7.656380765143924E-20	4.64359493405979E-17	0	0	19.97265485141425	879.1196209520633	IFITM1;RSAD2;IFNB1;STAT1;MX2;STAT2;MX1;IFIT5;ISG15;IFIT1;SAMHD1;IFIT3;IFIT2;OASL;ISG20;IFI27;OAS1;OAS2;OAS3;GBP2;XAF1;IRF9;MYD88
type I interferon signaling pathway (GO:0060337)	23/65	7.656380765143924E-20	4.64359493405979E-17	0	0	19.97265485141425	879.1196209520633	IFITM1;RSAD2;IFNB1;STAT1;MX2;STAT2;MX1;IFIT5;ISG15;IFIT1;SAMHD1;IFIT3;IFIT2;OASL;ISG20;IFI27;OAS1;OAS2;OAS3;GBP2;XAF1;IRF9;MYD88
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	30/128	1.1235641692448716E-19	5.451533349176117E-17	0	0	11.281049562682215	492.2216454396863	ERCC6L;BUB1B;TTK;KIF11;CENPA;AURKB;CDC20;CCNB1;STMN1;NUF2;KNTC1;BUB1;DLGAP5;CENPU;STIL;PLK1;KNL1;NDC80;ZWINT;SGO1;CENPE;CENPF;CENPI;KIF4A;CENPK;TACC3;BIRC5;CENPM;KIF2C;SPC25
mitotic spindle organization (GO:0007052)	32/157	5.9546175909368135E-19	2.407650379268785E-16	0	0	9.456826003824093	396.8552283533484	ERCC6L;BUB1B;TTK;KIF11;CENPA;AURKB;CDC20;CCNB1;STMN1;NUF2;KNTC1;BUB1;DLGAP5;CENPU;STIL;PLK1;KIF23;KNL1;NDC80;ZWINT;SGO1;TPX2;CENPE;CENPF;KIFC1;CENPI;KIF4A;CENPK;BIRC5;CENPM;KIF2C;SPC25
cytokine-mediated signaling pathway (GO:0019221)	58/621	5.045772829522164E-16	1.7487206977743955E-13	0	0	3.9139133200624707	137.85902780677856	CD86;IFITM1;CXCL9;CD80;IFIT5;SLA;IL27;IFIT1;IFIT3;TNFSF13B;IFIT2;OASL;LMNB1;IL18RAP;JAK2;TRIM22;CCR2;IL15RA;RSAD2;AIM2;IFI27;OAS1;OAS2;OAS3;BIRC5;IRF9;CCL13;NOD2;SAMHD1;MUC1;CCL8;CCL7;ALOX5;STAT4;IL21R;CCL2;CCL1;GBP2;GBP1;VCAM1;STAT1;IFNB1;CD70;STAT2;IL10RA;TNFRSF9;MX2;MX1;ISG15;LILRB2;ISG20;CXCL10;CXCL11;IL6;SAA1;XAF1;IL7R;MYD88
negative regulation of viral genome replication (GO:0045071)	18/54	2.7812951912589042E-15	8.434277667492627E-13	0	0	18.07169459962756	605.6883803731197	IFITM1;RSAD2;IFNB1;MX1;IFIT5;EIF2AK2;ISG15;IFIT1;OASL;IFIH1;ISG20;PLSCR1;OAS1;IFI16;OAS2;OAS3;APOBEC3A;APOBEC3B
negative regulation of viral process (GO:0048525)	19/70	3.3218805053274866E-14	8.954313451027202E-12	0	0	13.479880011706175	418.35697641684357	IFITM1;RSAD2;IFNB1;STAT1;MX1;IFIT5;EIF2AK2;ISG15;IFIT1;OASL;IFIH1;ISG20;PLSCR1;OAS1;IFI16;OAS2;OAS3;TRIM14;APOBEC3A
mitotic sister chromatid segregation (GO:0000070)	21/102	5.61192031684874E-13	1.3614518688675043E-10	0	0	9.401303925648495	265.19868657233224	CDCA5;PLK1;KIF14;NCAPG;KIF23;HASPIN;NCAPH;NDC80;ZWINT;REC8;SGO1;CENPE;CCNB1;KIF18B;PSRC1;KIFC1;CENPK;CDK1;KIF2C;CEP55;DLGAP5
regulation of viral genome replication (GO:0045069)	17/67	2.510822922533573E-12	5.537505827333134E-10	0	0	12.257063197026023	327.3911902393813	IFITM1;RSAD2;IFNB1;MX1;IFIT5;EIF2AK2;ISG15;IFIT1;OASL;IFIH1;ISG20;PLSCR1;OAS1;IFI16;OAS2;OAS3;APOBEC3A
cellular response to interferon-gamma (GO:0071346)	21/121	1.7972055986111164E-11	3.6333506518588066E-9	0	0	7.6075842696629215	188.22839441218412	GBP5;CCL13;VCAM1;STAT1;ACOD1;OASL;CCL8;OAS1;CCL7;OAS2;OAS3;CCL2;CCL1;JAK2;GBP2;TLR4;GBP1;TRIM22;IRF9;GBP4;GBP3
response to interferon-beta (GO:0035456)	11/28	9.533772382563958E-11	1.7791486000077047E-8	0	0	23.10856401384083	533.1976595822505	IFITM1;PLSCR1;PNPT1;AIM2;IFI16;OAS1;IFNB1;STAT1;ACOD1;MNDA;XAF1
innate immune response (GO:0045087)	31/302	4.1202322108176567E-10	7.139773816745454E-8	0	0	4.185755330835751	90.45392744054524	CX3CR1;IFITM1;NLRC5;SLA;NOD2;IFIT1;INAVA;IFIH1;CLEC7A;DHX58;CLEC5A;S100A12;TRIM22;DDX58;CARD9;MX1;CYBB;ISG15;S100B;TREML1;CXCL10;CLEC4D;IFI27;OAS1;SAA1;TRIM14;TLR8;TLR4;CFB;APOBEC3A;MYD88
double-strand break repair via homologous recombination (GO:0000724)	17/97	1.3024007306748265E-9	2.106416115078086E-7	0	0	7.648815055762082	156.4875398402047	GEN1;GINS2;POLQ;BLM;FANCM;XRCC2;CDC7;BRCA1;BRCA2;SAMHD1;REC8;RAD54B;RAD51AP1;CDC45;RAD51;RAD54L;AUNIP
spindle assembly checkpoint signaling (GO:0071173)	9/21	1.9972875409364785E-9	2.691899763506609E-7	0	0	26.693681318681318	534.713831519714	CDC20;CENPF;PLK1;BUB1B;TTK;KNTC1;TRIP13;BUB1;ZWINT
mitotic spindle assembly checkpoint signaling (GO:0007094)	9/21	1.9972875409364785E-9	2.691899763506609E-7	0	0	26.693681318681318	534.713831519714	CDC20;CENPF;PLK1;BUB1B;TTK;KNTC1;TRIP13;BUB1;ZWINT
mitotic spindle checkpoint signaling (GO:0071174)	9/21	1.9972875409364785E-9	2.691899763506609E-7	0	0	26.693681318681318	534.713831519714	CDC20;CENPF;PLK1;BUB1B;TTK;KNTC1;TRIP13;BUB1;ZWINT
