Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
NOD-like receptor signaling pathway	24/181	2.296448776462978E-10	5.121080771512441E-8	0	0	5.552700708913599	123.23934375690504	RNF31;GBP5;IFNB1;STAT1;STAT2;CARD9;CYBB;NOD2;ANTXR1;IL6;AIM2;CASP5;OAS1;IFI16;OAS2;OAS3;CCL2;GBP2;TLR4;GBP1;MYD88;IRF9;GBP4;GBP3
Influenza A	21/172	1.3759366090695668E-8	1.534169319112567E-6	0	0	5.024853039660689	90.95760881497198	RSAD2;DDX58;IFNB1;STAT1;MX2;STAT2;MX1;EIF2AK2;IFIH1;CXCL10;IL6;OAS1;OAS2;OAS3;TNFSF10;CCL2;TLR7;JAK2;TLR4;MYD88;IRF9
Cell cycle	17/124	5.953955732213213E-8	4.425773760945155E-6	0	0	5.710766772052948	95.00788477141282	PLK1;BUB1B;CDC7;TTK;CDC25C;PKMYT1;CDC25A;CDC20;CCNA2;CCNB1;ORC6;CDC45;CCNE2;ORC1;CDK1;E2F1;BUB1
Viral protein interaction with cytokine and cytokine receptor	15/100	1.0651016234308071E-7	5.93794155062675E-6	0	0	6.326797385620915	101.57689295005386	CX3CR1;CCL13;CXCL9;IL10RA;TNFRSF10C;CXCL10;CXCL11;IL6;IL18RAP;CCL8;CCL7;TNFSF10;CCL2;CCL1;CCR2
Coronavirus disease	23/232	1.4406878952824648E-7	6.4254680129597935E-6	0	0	3.9790984638630067	62.68263841040465	IFNB1;STAT1;DDX58;STAT2;MX2;MX1;EIF2AK2;CYBB;ISG15;IFIH1;C4A;CXCL10;IL6;OAS1;OAS2;OAS3;TLR8;CCL2;TLR7;TLR4;CFB;MYD88;IRF9
Measles	17/139	3.2151543400496106E-7	1.1949656963851052E-5	0	0	5.004738253397526	74.8219393729979	DDX58;IFNB1;STAT1;MX2;STAT2;MX1;EIF2AK2;IFIH1;IL6;CCNE2;OAS1;OAS2;OAS3;TLR7;TLR4;MYD88;IRF9
Homologous recombination	9/41	1.4507683604944878E-6	4.6217334912895826E-5	0	0	9.999828296703297	134.4318641018605	BLM;BRIP1;RAD51;EME1;XRCC2;RAD54L;BRCA1;BRCA2;RAD54B
Toll-like receptor signaling pathway	13/104	6.120593303009583E-6	1.706115383213921E-4	0	0	5.101212440695836	61.23419671622479	CD86;CXCL9;IFNB1;STAT1;CD80;CXCL10;CXCL11;IL6;TLR8;TLR7;CD14;TLR4;MYD88
Hepatitis C	16/157	7.981928971648477E-6	1.977744622975123E-4	0	0	4.064053474387821	47.705202648603354	RSAD2;DDX58;IFNB1;STAT1;MX2;STAT2;MX1;EIF2AK2;IFIT1;CXCL10;OAS1;OAS2;OAS3;CLDN7;E2F1;IRF9
Cytokine-cytokine receptor interaction	23/295	9.130185300874919E-6	2.036031322095107E-4	0	0	3.0474554953560373	35.362443691653624	CX3CR1;IL15RA;CCL13;CXCL9;CD70;IFNB1;IL10RA;TNFRSF9;TNFRSF10C;IL27;TNFSF13B;CXCL10;CXCL11;IL6;IL18RAP;CCL8;CCL7;TNFSF10;IL21R;CCL2;CCL1;IL7R;CCR2
Fanconi anemia pathway	9/54	1.598022922805869E-5	3.239628288960989E-4	0	0	7.106227106227106	78.48229688537121	FANCI;RMI2;BLM;BRIP1;RAD51;EME1;FANCM;BRCA1;BRCA2
Epstein-Barr virus infection	16/202	1.718340460893448E-4	0.0030068375651667078	0	0	3.0736329722504836	26.645267052218273	IFNB1;STAT1;DDX58;STAT2;EIF2AK2;ISG15;CCNA2;CXCL10;IL6;CCNE2;OAS1;OAS2;OAS3;E2F1;MYD88;IRF9
Hepatitis B	14/162	1.752864948303462E-4	0.0030068375651667078	0	0	3.374107009042314	29.18295117340238	DDX58;IFNB1;STAT1;STAT2;IFIH1;CCNA2;IL6;CCNE2;E2F1;STAT4;BIRC5;JAK2;TLR4;MYD88
Oocyte meiosis	12/129	2.5440722041261145E-4	0.0040523435822865965	0	0	3.650753175615054	30.21573007240516	CDC20;SGO1;CCNB1;CCNE2;PLK1;CDK1;CALML4;CDC25C;PKMYT1;ADCY7;BUB1;REC8
Chemokine signaling pathway	15/192	3.1518843071193497E-4	0.0046858013365841	0	0	3.0238543628374135	24.379341697163238	CX3CR1;CCL13;CXCL9;STAT1;STAT2;ADCY7;CXCL10;GRK3;CXCL11;CCL8;CCL7;CCL2;CCL1;JAK2;CCR2
Tuberculosis	14/180	5.168291645597592E-4	0.007203306481051643	0	0	3.0054339353718014	22.74451744853446	IFNB1;STAT1;IL10RA;CARD9;CALML4;NOD2;IL6;FCGR3A;CLEC7A;CD14;JAK2;TLR4;FCGR2C;MYD88
Necroptosis	12/159	0.0016412263829070647	0.021529028434604438	0	0	2.9011914157928365	18.60334314344953	RNF31;IFNB1;STAT1;JMJD7-PLA2G4B;STAT2;TNFSF10;STAT4;CYBB;EIF2AK2;JAK2;TLR4;IRF9
Progesterone-mediated oocyte maturation	9/100	0.0018549843784012165	0.022981195354637295	0	0	3.505736022219539	22.050655400795286	CCNA2;CCNB1;PLK1;CDK1;CDC25C;PKMYT1;ADCY7;BUB1;CDC25A
Inflammatory bowel disease	7/65	0.002112222423001718	0.02479082106996753	0	0	4.269726906619683	26.30158010312242	IL6;IL18RAP;STAT1;IL21R;STAT4;NOD2;TLR4
African trypanosomiasis	5/37	0.0033816830241945365	0.03770576571976908	0	0	5.515056818181818	31.37726365163834	IL6;VCAM1;IDO2;MYD88;IDO1
Leishmaniasis	7/77	0.005493825530008022	0.057157428768032995	0	0	3.5355839416058394	18.39964004293756	FCGR3A;STAT1;CYBB;JAK2;TLR4;FCGR2C;MYD88
JAK-STAT signaling pathway	11/162	0.00563884947487321	0.057157428768032995	0	0	2.5836823139851965	13.378501387323073	IL15RA;IL6;IFNB1;STAT1;IL10RA;STAT2;IL21R;STAT4;IL7R;JAK2;IRF9
C-type lectin receptor signaling pathway	8/104	0.008403973077401665	0.08148199983741614	0	0	2.9477452772699575	14.087424129432927	IL6;CLEC4D;CLEC7A;STAT1;STAT2;CARD9;CALML4;IRF9
Intestinal immune network for IgA production	5/48	0.010361233300383473	0.09627312608272975	0	0	4.101902748414377	18.74439937866395	CD86;IL15RA;IL6;CD80;TNFSF13B
Cellular senescence	10/156	0.011886232261985114	0.10512922470144584	0	0	2.425411587281639	10.750332474929161	CCNA2;CCNB1;IL6;CCNE2;CDK1;E2F1;MYBL2;CALML4;FOXM1;CDC25A
Malaria	5/50	0.012257219023486959	0.10512922470144584	0	0	3.919191919191919	17.25087273252396	IL6;VCAM1;CCL2;TLR4;MYD88
RIG-I-like receptor signaling pathway	6/70	0.013018292653261989	0.10752145413620087	0	0	3.3095969945355193	14.368283675291647	IFIH1;CXCL10;DDX58;IFNB1;DHX58;ISG15
Staphylococcus aureus infection	7/95	0.016547871025676793	0.13179197281164018	0	0	2.8097835102853352	11.524320954373861	C4A;FCGR3A;CFH;FPR3;FPR2;FCGR2C;CFB
Lipid and atherosclerosis	12/215	0.0172606538891638	0.13272847645805266	0	0	2.0947663500530713	8.50333889993211	CYP2J2;IL6;VCAM1;IFNB1;TNFSF10;CYBB;CCL2;CALML4;CD14;JAK2;TLR4;MYD88
Pertussis	6/76	0.018914362076604584	0.13897196860382222	0	0	3.0249804839968775	12.002619649205617	C4A;IL6;CALML4;CD14;TLR4;MYD88
Pyrimidine metabolism	5/56	0.019318973213984254	0.13897196860382222	0	0	3.457040998217469	13.643791692222084	RRM2;CMPK2;TK1;TYMS;TYMP
NF-kappa B signaling pathway	7/104	0.025796700199139343	0.1797707545127523	0	0	2.547896756716081	9.318954540358405	CCL13;VCAM1;DDX58;CD14;TLR4;MYD88;TNFSF13B
Cytosolic DNA-sensing pathway	5/63	0.030416072260428504	0.20553891254774415	0	0	3.03871473354232	10.6135745589344	CXCL10;IL6;AIM2;DDX58;IFNB1
Human immunodeficiency virus 1 infection	11/212	0.03497970062052556	0.22942568348168232	0	0	1.9359452736318408	6.4912000476620975	CCNB1;AP1G2;IFNB1;CDK1;CALML4;CDC25C;SAMHD1;TLR4;APOBEC3A;MYD88;APOBEC3B
PD-L1 expression and PD-1 checkpoint pathway in cancer	6/89	0.03738071145029433	0.23816853295473242	0	0	2.549476594904207	8.379110909347474	BATF2;CD274;STAT1;JAK2;TLR4;MYD88
Neutrophil extracellular trap formation	10/189	0.03855407701456926	0.23882108817358183	0	0	1.9748859617651582	6.429623241696987	FCGR3A;SIGLEC9;CLEC7A;AQP9;CYBB;TLR8;FPR3;TLR7;FPR2;TLR4
Kaposi sarcoma-associated herpesvirus infection	10/193	0.04342203912909838	0.26170580339970106	0	0	1.9313179926806037	6.058135398604779	CD86;IL6;IFNB1;STAT1;STAT2;E2F1;EIF2AK2;CALML4;JAK2;IRF9
Rheumatoid arthritis	6/93	0.044783996758653334	0.2628113493994656	0	0	2.4317567991960303	7.552804187550421	CD86;IL6;CD80;CCL2;TLR4;TNFSF13B
IL-17 signaling pathway	6/94	0.0467676266976437	0.26741489111729605	0	0	2.403999006458023	7.362400939782153	CXCL10;IL6;CCL7;CCL2;S100A9;S100A8
p53 signaling pathway	5/73	0.052104715487730505	0.2864352215001221	0	0	2.590508021390374	7.65365549823372	CCNB1;RRM2;CCNE2;CDK1;GTSE1
Ovarian steroidogenesis	4/51	0.052662977943968625	0.2864352215001221	0	0	2.9961771633779977	8.820273899134714	CYP2J2;JMJD7-PLA2G4B;ALOX5;ADCY7
