Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0016339)	12/36	0.0018240923502900023	0.9999962068773893	0	0	3.2385767790262174	20.42464394687964	CDH6;SELP;CDH5;NLGN1;CDH10;CDH11;CDH13;PCDHB11;CDH17;CDH18;CDH7;CDH19
thyroid hormone generation (GO:0006590)	6/12	0.0025877886155232254	0.9999962068773893	0	0	6.469357249626308	38.53764791808053	TPO;IYD;DIO2;CGA;DUOX2;SLC5A5
glial cell differentiation (GO:0010001)	10/29	0.003261044878120172	0.9999962068773893	0	0	3.4074613930034667	19.510127663445722	SOX2;SLC8A3;RELN;ERBB3;PTPRZ1;NFIB;SOX11;SOX9;PHOX2B;FGF10
sodium ion transport (GO:0006814)	22/90	0.0033160070377360393	0.9999962068773893	0	0	2.098076072534277	11.977903540440881	SLC24A2;SLC12A3;CATSPER4;SLC6A15;SLC6A14;ATP1A4;ATP1A2;SLC6A1;SLC6A20;SLC6A2;NALCN;SLC5A5;SLC6A5;SLC8A3;SLC5A8;SCN11A;SCN9A;SCN7A;SCN2A;SCN3A;SCN1A;SCN2B
intestinal cholesterol absorption (GO:0030299)	5/9	0.0034023305345578987	0.9999962068773893	0	0	8.08460963765409	45.94721854606778	ABCG8;ABCG5;SOAT2;AKR1C1;LDLR
anterograde trans-synaptic signaling (GO:0098916)	48/244	0.003825422718641792	0.9999962068773893	0	0	1.5919297103807355	8.860818156499649	GRIA1;GABRB2;GRIA2;GABRB1;OR10H1;NLGN1;OR10H5;CHRM4;CHRNA7;NRXN1;CACNA1B;GRIK4;HTR2A;HTR4;SLC6A1;SLC1A6;SLC6A2;CPLX1;GRM1;GABRR3;GRM3;GRIN2A;GRM4;PTCHD1;GRM7;NPBWR1;DLGAP1;SNCB;DRD5;SNCA;SYT5;CHRNB4;NLGN4X;SYT1;HTR3E;HTR1D;OPRK1;HTR3A;HTR3B;PCDHB11;GABRG3;GRIN2B;SLC6A5;CACNB4;DLG2;NOVA1;KCNK3;SCN2B
negative regulation of astrocyte differentiation (GO:0048712)	4/6	0.003861725106021572	0.9999962068773893	0	0	12.932038834951456	71.85870078198928	NOG;NR1D1;F2;LDLR
sodium ion transmembrane transport (GO:0035725)	21/87	0.004747392900006055	0.9999962068773893	0	0	2.0628608520378533	11.036634945240232	SLC24A2;SLC12A3;SLC6A15;SLC6A14;ATP1A4;ATP1A2;ATP1B2;SLC6A1;SLC6A20;SLC6A2;NALCN;SLC9C2;SLC6A5;SLC8A3;SCN11A;SCN9A;SCN7A;SCN2A;SCN3A;SCN1A;SCN2B
membrane depolarization during action potential (GO:0086010)	9/26	0.005034454489560974	0.9999962068773893	0	0	3.4266191325014854	18.131784159434833	SCN11A;SCN9A;SCN7A;ATP1A2;CACNA1C;SCN2A;SCN3A;SCN1A;SCN2B
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	35/170	0.00596647186975175	0.9999962068773893	0	0	1.6829814325091998	8.619556868068662	PTPRT;TENM2;NLGN1;PTPRM;UMOD;MYPN;CDH7;CDH6;CDH5;CDH3;CDH1;SLITRK1;SLITRK3;GRID2;DSCAM;VSTM2L;UNC5D;PCDHB11;CLDN6;IGSF11;PTPRD;SELP;MAG;CEACAM6;CLDN14;CDH10;CEACAM5;CDH11;IL1RAPL1;CNTN2;CDH13;CEACAM8;CDH17;CDH18;CDH19
