Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Maturity onset diabetes of the young	10/26	0.0012639051818839054	0.37158812347386816	0	0	4.047062125748503	27.00826740385995	NEUROD1;RFX6;HNF4A;ONECUT1;HNF1B;PAX6;HNF1A;MAFA;NKX2-2;FOXA2
Protein digestion and absorption	23/103	0.008794533560987253	0.999996095524618	0	0	1.8638303873636706	8.82267399952605	CPA2;SLC15A1;CPB1;SLC36A2;COL14A1;ELN;COL11A1;ATP1A4;ATP1A2;ATP1B2;SLC8A3;ACE2;COL3A1;COL1A2;COL2A1;COL5A1;MEP1B;SLC7A9;COL4A6;COL9A1;COL4A5;COL21A1;COL6A5
Nicotine addiction	11/40	0.01379312456433579	0.999996095524618	0	0	2.455221472004544	10.517149945139446	GRIA1;GABRR3;GABRB2;GRIA2;GABRB1;GRIN2A;CHRNA7;CACNA1B;SLC17A8;GABRG3;GRIN2B
Neuroactive ligand-receptor interaction	57/341	0.045176482153098316	0.999996095524618	0	0	1.3023983903420524	4.033760467390099	GABRB2;GABRB1;NPFFR1;VIPR2;THRB;THRA;CHRM4;GRIK3;GRIK4;PTH1R;HTR2A;HTR4;ADRA1A;GRM1;GABRR3;GRM3;GRM4;GRM7;GRM6;PRLHR;CHRNB4;GRID2;GLP2R;TAAR5;OPRM1;F2;ADRA2C;GABRG3;GIP;ADCYAP1;GAL;FSHR;OPRD1;GRIA1;GRIA2;ADCYAP1R1;CALCB;CHRNA7;PTGER3;GPR83;MCHR2;GRIN2A;CALCR;CNR2;NPBWR1;KISS1R;CGA;S1PR5;DRD5;P2RY13;HTR1D;OPRK1;GRIN2B;TSHR;P2RX3;LEP;NMUR2
Glutamatergic synapse	22/114	0.04844703278684435	0.999996095524618	0	0	1.548594311866623	4.68803506977542	PRKCG;GRIA1;GRIA2;PLA2G4D;GRIK3;GRIK4;ADCY2;CACNA1C;SLC1A6;GRIN2B;GRM1;GNAO1;GRM3;GRIN2A;PPP3R2;GRM4;GRM7;GRM6;DLGAP1;SLC17A8;SHANK2;KCNJ3
Riboflavin metabolism	3/8	0.08012807997317214	0.999996095524618	0	0	3.877491601343785	9.7872887069207	ACP5;ENPP1;ENPP3
Serotonergic synapse	19/113	0.175564445305461	0.999996095524618	0	0	1.307340145892091	2.2744438340563784	PRKCG;TPH2;GABRB2;TPH1;GABRB1;DDC;PLA2G4D;HTR3E;HTR1D;CACNA1B;HTR3A;ALOX12B;CACNA1C;HTR2A;HTR3B;HTR4;CYP2C19;GNAO1;KCNJ3
Caffeine metabolism	2/6	0.18680369284121456	0.999996095524618	0	0	3.230223880597015	5.419336863497	CYP1A2;XDH
ECM-receptor interaction	15/88	0.19546545686976013	0.999996095524618	0	0	1.3286438510254712	2.168840497394356	LAMC3;LAMA1;LAMA4;COMP;COL2A1;RELN;COL1A2;COL4A6;ITGA8;COL9A1;TNR;COL4A5;COL6A5;FREM1;FREM2
Cholesterol metabolism	9/50	0.2209388214773616	0.999996095524618	0	0	1.4188223700418823	2.1422365397011203	ABCG8;ABCG5;SOAT2;APOH;LRP2;LPA;ABCB11;APOB;LDLR
