,Term,Combined Score,Adjusted P-value
6,(GO: 0048712) negative regulation of astrocyte differentiation,71.85870078198928,0.9999962068773892
4,(GO: 0030299) intestinal cholesterol absorption,45.94721854606778,0.9999962068773892
12,(GO: 0140058) neuron projection arborization,41.56516207195644,0.9999962068773892
1,(GO: 0006590) thyroid hormone generation,38.53764791808053,0.9999962068773892
23,(GO: 0035609) C-terminal protein deglutamylation,38.16943192224074,0.9999962068773892
24,(GO: 0060219) camera-type eye photoreceptor cell differentiation,38.16943192224074,0.9999962068773892
25,(GO: 0001714) endodermal cell fate specification,38.16943192224074,0.9999962068773892
26,(GO: 0038003) G protein-coupled opioid receptor signaling pathway,38.16943192224074,0.9999962068773892
27,(GO: 0046219) indolalkylamine biosynthetic process,38.16943192224074,0.9999962068773892
28,(GO: 0042435) indole-containing compound biosynthetic process,38.16943192224074,0.9999962068773892
