,Term,Combined Score,Adjusted P-value
0,Maturity onset diabetes of the young,27.00826740385995,0.3715881234738681
2,Nicotine addiction,10.517149945139446,0.999996095524618
5,Riboflavin metabolism,9.7872887069207,0.999996095524618
1,Protein digestion and absorption,8.82267399952605,0.999996095524618
7,Caffeine metabolism,5.419336863497,0.999996095524618
4,Glutamatergic synapse,4.68803506977542,0.999996095524618
3,Neuroactive ligand-receptor interaction,4.033760467390099,0.999996095524618
6,Serotonergic synapse,2.2744438340563784,0.999996095524618
8,ECM-receptor interaction,2.168840497394356,0.999996095524618
9,Cholesterol metabolism,2.1422365397011203,0.999996095524618
