MFL,MFN,MFPA
RPSAP39,RAB17,SERPINE1
CXCL9,NR2C1,CT75
CXCL1,AMDHD1,SHB
MMP2-AS1,LYPLAL1,PRR14
LZTS3,SNRPF,FAM240B
BTC,SLC49A4,PABPC4
TBC1D30,LINC02035,SGCD
PARM1,GPATCH2,PAX3
RASSF3,SEC22A,RAB28P3
PARM1-AS1,HACD2,ALDOA
USO1,FGD6,ANKRD20A7P
CPXM1,PIAS4,CIR1P1
CXCL6,ZBTB7A,MAPK3
CXCL10,KCTD3,YPEL3
CXCL11,RIMKLBP2,GRIA1
TBK1,SIRT6,NMUR2
SRGAP1,NDUFA12,ITK
SHROOM3,MYLK-AS1,DCAF10
CXCL13,CENPF,PGLYRP3
ANTXR2,PTPN14,ZSCAN4
PRDM8-AS1,SMYD2,RNF40
PRDM8,MYLK,PRR9
SIGLEC1,CCDC14,ADAM19
HELB,UMPS,NIPAL4
HPSE,CEP83,THG1L
FERMT1,CHAF1A,BCL7C
CYLD,HAL,FRMPD1
TXK,LTA4H,LINC02811
TEC,ITGB5,LINC02227
RAB21,NCLN,HSD3B7
SNAP25,THOP1,VKORC1
HNRNPA1P48,ZNF554,SPRR2D
LAMP5,ZNF555,RPL23P4
PLCB1,DEPDC4,PPP4C
CEP135,ZNF77,ATOX1
CPM,TLE6,PSMF1
PANK2,ACTR6,POU3F1
MDM2,GNA11,CENPBD1P1
RAP1B,SLC15A2,ANXA1
STAP1,UHRF1BP1L,TRPM6
RPSAP12,APAF1,ANKRD20A8P
LINC02384,IKBIP,HMGXB3
MT2P1,PIP5K1C,NPR1
RPS4XP2,NFIC,TRIB3
SMOX,IARS2,ANKRD20A3P
RUFY3,BPNT1,ATXN2L
RASGEF1B,EPRS1,CSNK2A1
RBCK1,CD86,PDE6A
POU2F2,TMPO,OTX2P1
CYP27B1,TMPO-AS1,DNAJB5P1
DKK2,SLC9A7P1,CSNK1A1
LEF1,TBXA2R,LINC01685
RPS3P6,WDR5B,ACSL3
FAM241A,NEDD1,UBE2M
EEF1AKMT3,PLXNC1,ZFAND5
RPL7AP30,MRPL42,CAMK2A
NT5C3AP1,PRKACA,TRPM3
METTL1,KHSRP,RPS14
CCL22,ACSS3,HSPA5P1
TNIP3,RANBP3,FAM189A2
NLRC5,LIN7A,PGM5-AS1
EXOSC9,ACAD9,MYOZ3
CCL17,MLLT1,SMIM3
MARCHF9,DTL,GM2A
FGF2,HMCES,RPS5
FAT4,H1-10-AS1,CDIPT
SCLT1,RPL32P3,KCTD13
C4orf33,INTS7,SLC36A2
SLC7A11,BBS10,NDUFA3P6
NOCT,SLC25A23,OAZ1P1
EEF1A1P9,METTL25,CCNJL
DDX3P3,IFT122,COX6B2
NRSN2-AS1,MBD4,SYT5
TMSB4XP8,PLXND1,FGF18
ARHGAP24,GLIPR1,NPM1
MT2A,CAPS2,B4GALT1-AS1
AFF1,TMCC1,SIAH1
MT1E,ATXN7L3B,FLG-AS1
HSP90AB3P,NEK2,IL11
PPM1K,TMCC1-DT,LINC02832
HERC6,TRHDE-AS1,RPSAP71
HERC5,SLC30A1,BAG1
NCOA4P2,VMAC,RPL28
UNC5C,TMTC2,LINC01251
CETP,UBE2N,ZNF628
UNC5C-AS1,UHRF1,UBE2R2-AS1
MT1G,ZNF148,BOLA3P4
DAPP1,SNX4,S100A11
LINC01465,OSBPL11,S100A10
PPP3CA,KLF15,UBTD2
ERVK3-1,DPP9,NFYC
SLC39A8,ZXDC,LINC02128
USP15,CHST13,DUSP1
NFKB1,NSL1,NLRP7
CYLD-AS1,TXNRD3,RNU6-222P
NOD2,PLIN3,LINC02180
KRR1,PLXNA1,CREBRF
CKAP4,MCM2,BNIP1
TP53INP2,GATA2-AS1,KIR2DL3
RPL22P1,PTPRS,NKX2-5
MAP1LC3A,PODXL2,RNA5SP427
TNFSF10,TMTC3,STC2
ACTG1P23,CEP290,TDRKH-AS1
LINC02015,SAFB2,UBE2R2
MFN1,SAFB,ZNF524
GNB4,C12orf29,UBAP1
MTHFD2P7,RUVBL1,CCNG1
PEX5L,LONP1,ZNF805
TRPC4AP,EEFSEC,SLU7
RPL32P10,RASSF9,RLF
WASHC4,SGTA,TRIM72
SLC41A2,SLC39A3,ZIM3
LAMP3,DIRAS1,PYDC1
EEF1A1P8,GIT2,FAM221B
NOL4L,TLR5,DNAJB6P3
ASXL1,RAD9B,ITPRIPL1
PLAGL2,DISP1,TMCO2
HCK,PLPPR3,GABRB2
RPL23AP42,VPS29,TESK1
PROCR,FAM216A,RUSC2
APBB2,QTRT2,ZNF667
SELENOT,GPN3,LINC01938
MANBAL,ANAPC7,CHPF
PBX2P1,ATP2A2,PHF24
SAMHD1,IFT81,TENM2
TLDC2,ARID3A,FAM205C
PLSCR4,CCDC191,SLIT3
PLSCR1,WDR18,ZNF787
TGIF2,GRIN3B,NLRP5
MED13L,TCHP,NLRP8
DLGAP4,CNN2,NLRP4
TBX3,ABCA7,NLRP11
TRAFD1,ARHGAP45,FRG2JP
MBNL1,UBE3B,FRG2IP
OAS2,KCTD10,RN7SKP109
CCNL1,STK11,SLIT3-AS2
OAS3,ACACB,ZNF581
PTX3,UNG,RFC5P1
SHOX2,PALM,CARMN
OAS1,TCTN1,LINC01485
RARRES1,EAF2,CAMLG
STX4,FBXO28,PCSK2
CCM2L,SLC66A2,NOMO1
RPL4P4,HECTD4,MTND4P12
CLUHP3,TXNL4A,PCAT7
N4BP1,RBFA,DSTN
DUSP6,TMEM116,TEKT2
RPL12P12,ADNP2,MIR193BHG
RIN2,PARD6G-AS1,VDAC1
RPL32P12,PARD6G,SHISA9
CD38,DEGS1,SEC24A
MGAT4C,MAPKAPK5,RPS23P6
RPS19P1,ACAD10,HABP4
LAP3,SEPTIN7P13,UBE2B
MED28-DT,HVCN1,DPM3
PI4K2B,GTF2IP20,NTAN1
NMRAL2P,NAA50,NINJ1
RRBP1,MADCAM1,SLC25A48
ARAP2,ATXN2,LECT2
NWD2,HSPA8P14,CARD19
NAV3,PHETA1,EIF2AK3
CSRP2,BSG-AS1,RPIA
RPS10P2,CUX2,RPL17P40
ADCY7,HCN2,RPS27AP18
PABPC1P1,ZDHHC23,EGR1
RBM47,PPP1CC,NOMO3
ATP2B1,LINC01352,HSPA9
LINC01619,ALKBH2,ROR2
BTG1-DT,USP30,NFIL3
ANKRD26P1,POLQ,AUH
DRAM1,NT5DC3,DIRAS2
RTP4,GSK3B,RPS15A
ZNF267,LRRC58,SKP1
BCL6,PARPBP,RSL1D1
RPS27P23,NUP37,GNA14-AS1
P3H2,WASHC3,SEC61B
CLDN1,AP3D1,CFAP61
CLDN16,RABL3,INSM1
IL1RAP,PLEKHJ1,LINC00471
MB21D2,GNPTAB,RN7SL607P
VEZF1P1,CHPT1,USP7-AS1
ATP13A3,HCLS1,RN7SL794P
LINC00884,CIRBP,RNA5SP477
CDK17,PEAK3,FSTL4
TNK2,LINGO3,MARCHF3
TNK2-AS1,LSM7,NKX2-4
