MFL,MFN,MFPA
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
2.717465,2.717465,2.717465
