rank,motif_ID,motif_alt_ID,adj_p-value,cnt
1,MA1596.1,MA1596.1.ZNF460,9.95e-122,3
2,MA1125.1,MA1125.1.ZNF384,1.1e-95,3
3,MA1587.1,MA1587.1.ZNF135,3.17e-93,3
4,MA1723.1,MA1723.1.PRDM9,3.65e-72,3
5,MA1623.1,MA1623.1.Stat2,9.73e-65,3
6,MA0052.4,MA0052.4.MEF2A,1.1500000000000001e-58,3
7,MA0740.2,MA0740.2.KLF14,8.38e-55,3
8,MA0493.2,MA0493.2.KLF1,3.5e-53,3
9,MA1511.2,MA1511.2.KLF10,5.16e-53,3
10,MA1870.1,MA1870.1.KLF7,6.44e-53,3
11,MA1107.2,MA1107.2.KLF9,5.04e-51,3
12,MA1515.1,MA1515.1.KLF2,1e-48,3
13,MA0599.1,MA0599.1.KLF5,1.9699999999999998e-48,3
14,MA0742.2,MA0742.2.KLF12,3.55e-48,3
15,MA1872.1,MA1872.1.ZNF354A,4.1700000000000002e-47,3
16,MA0041.2,MA0041.2.FOXD3,9.71e-47,3
17,MA1866.1,MA1866.1.PATZ1,1.57e-46,3
18,MA0685.2,MA0685.2.SP4,8.22e-46,3
19,MA0039.4,MA0039.4.KLF4,8.66e-46,3
20,MA0162.4,MA0162.4.EGR1,1.91e-45,3
21,MA0079.5,MA0079.5.SP1,9.44e-45,3
22,MA1564.1,MA1564.1.SP9,1.6e-44,3
23,MA0746.2,MA0746.2.SP3,3.46e-44,3
24,MA0516.3,MA0516.3.SP2,9.65e-43,3
25,MA0497.1,MA0497.1.MEF2C,1.1099999999999999e-41,3
26,MA1512.1,MA1512.1.KLF11,4.98e-41,3
27,MA0080.6,MA0080.6.Spi1,1.18e-39,3
28,MA2032.1,MA2032.1.SP5,1.36e-39,3
29,MA1513.1,MA1513.1.KLF15,2.73e-39,3
30,MA0517.1,MA0517.1.STAT1::STAT2,3.83e-39,3
31,MA1710.1,MA1710.1.ZNF257,1.49e-38,3
32,MA0050.3,MA0050.3.Irf1,2.97e-38,3
33,MA1517.1,MA1517.1.KLF6,5.540000000000001e-37,3
34,MA1653.1,MA1653.1.ZNF148,1.42e-34,3
35,MA0846.1,MA0846.1.FOXC2,4.9e-34,3
36,MA1630.2,MA1630.2.ZNF281,5.4899999999999995e-34,3
37,MA0773.1,MA0773.1.MEF2D,2.07e-33,3
38,MA0471.2,MA0471.2.E2F6,9.69e-32,3
39,MA0528.2,MA0528.2.ZNF263,2.9199999999999998e-30,3
40,MA1487.2,MA1487.2.FOXE1,3.09e-30,3
41,MA0660.1,MA0660.1.MEF2B,7.33e-30,3
42,MA0032.2,MA0032.2.FOXC1,1.56e-28,3
43,MA0845.1,MA0845.1.FOXB1,6.97e-28,3
44,MA0747.1,MA0747.1.SP8,1.83e-27,3
45,MA1652.1,MA1652.1.ZKSCAN5,1.71e-25,3
46,MA0741.1,MA0741.1.KLF16,2.09e-25,3
47,MA0081.2,MA0081.2.SPIB,2.27e-25,3
48,MA0146.2,MA0146.2.Zfx,3.76e-24,3
49,MA1607.1,MA1607.1.Foxl2,2.69e-23,3
50,MA0508.3,MA0508.3.PRDM1,3.06e-23,3
51,MA0851.1,MA0851.1.Foxj3,5.38e-23,3
