gene,chr,start,end,strand
ISG15,chr1,1000138,1001138,+
TNFRSF9,chr1,7943165,7944165,-
Y_RNA,chr1,7982983,7983983,-
PIK3CD-AS1,chr1,9654586,9655586,-
MTCYBP45,chr1,11425821,11426821,-
SNORA70,chr1,12221271,12222271,-
C1orf158,chr1,12745200,12746200,+
ANO7L1,chr1,16228027,16229027,-
MST1P2,chr1,16644622,16645622,+
LINC01141,chr1,20431234,20432234,-
MDS2,chr1,23580495,23581495,+
CNR2,chr1,23913362,23914362,-
NCMAP,chr1,24555087,24556087,+
RUNX3-AS1,chr1,24960345,24961345,+
AUNIP,chr1,25859458,25860458,-
STMN1,chr1,25906991,25907991,-
THEMIS2,chr1,27871543,27872543,+
RN7SL371P,chr1,30918735,30919735,-
CSMD2,chr1,34165842,34166842,-
CLSPN,chr1,35769978,35770978,-
LINC01685,chr1,38473825,38474825,+
TMSB4XP1,chr1,42500339,42501339,-
RNU6-536P,chr1,42568033,42569033,+
CDC20,chr1,43357981,43358981,+
KLF17,chr1,44117821,44118821,+
KIF2C,chr1,44738818,44739818,+
RAD54L,chr1,46245461,46246461,+
CYP4B1,chr1,46756838,46757838,+
STIL,chr1,47314892,47315892,-
ELAVL4-AS1,chr1,50175868,50176868,-
LINC01562,chr1,51235096,51236096,-
GAPDHP51,chr1,51708137,51709137,-
ORC1,chr1,52404423,52405423,-
GLIS1,chr1,53739164,53740164,-
CYP2J2,chr1,59926773,59927773,-
ROR1,chr1,63773017,63774017,+
DEPDC1,chr1,68497221,68498221,-
FPGT-TNNI3K,chr1,74197235,74198235,+
NEXN,chr1,77887513,77888513,+
GIPC2,chr1,77978542,77979542,+
IFI44L,chr1,78618902,78619902,+
IFI44,chr1,78648796,78649796,+
MCOLN2,chr1,84997113,84998113,-
DNAI3,chr1,84998147,84999147,+
GBP3,chr1,89022894,89023894,-
GBP1,chr1,89065360,89066360,-
GBP2,chr1,89150456,89151456,-
GBP4,chr1,89198942,89199942,-
GBP5,chr1,89272860,89273860,-
GBP1P1,chr1,89406679,89407679,+
CDC7,chr1,91499851,91500851,+
PLPPR4,chr1,99263292,99264292,+
GPR88,chr1,100537139,100538139,+
VCAM1,chr1,100718742,100719742,+
PSRC1,chr1,109283186,109284186,-
CHIAP3,chr1,111367409,111368409,-
C1orf162,chr1,111472792,111473792,+
ADORA3,chr1,111503633,111504633,-
LINC01750,chr1,111988770,111989770,+
LINC02884,chr1,112360625,112361625,-
VANGL1,chr1,115640970,115641970,+
TTF2,chr1,117059326,117060326,+
TBX15,chr1,118989556,118990556,-
FCGR1B,chr1,121086345,121087345,+
FAM72B,chr1,121185539,121186539,-
FAM72C,chr1,143971986,143972986,-
FAM72D,chr1,145094974,145095974,+
LINC01145,chr1,145216058,145217058,-
LINC02804,chr1,148012203,148013203,+
LINC02805,chr1,148155139,148156139,+
SELENBP1,chr1,151372707,151373707,-
S100A9,chr1,153356854,153357854,+
S100A12,chr1,153375621,153376621,-
S100A8,chr1,153391073,153392073,-
S100A1,chr1,153626926,153627926,+
MUC1,chr1,155192916,155193916,-
THBS3-AS1,chr1,155193997,155194997,+
RNU6-106P,chr1,155358818,155359818,-
IQGAP3,chr1,156572604,156573604,-
VDAC1P9,chr1,157725020,157726020,-
SMIM42,chr1,158128301,158129301,-
OR10K2,chr1,158426237,158427237,-
OR10K1,chr1,158460574,158461574,+
MNDA,chr1,158830351,158831351,+
AIM2,chr1,159147096,159148096,-
ATP1A2,chr1,160114759,160115759,+
APOA2,chr1,161223631,161224631,-
HSPA6,chr1,161523540,161524540,+
FCGR3A,chr1,161550737,161551737,-
FCGR2C,chr1,161580339,161581339,+
CCDC190,chr1,162868761,162869761,-
NUF2,chr1,163265576,163266576,+
C1orf112,chr1,169661007,169662007,+
CRYZL2P-SEC16B,chr1,178038007,178039007,-
RGS8,chr1,182684576,182685576,-
RGL1,chr1,183635085,183636085,+
BRINP3,chr1,190478404,190479404,-
CFH,chr1,196651043,196652043,+
ASPM,chr1,197146694,197147694,-
KIF14,chr1,200620751,200621751,-
GPR25,chr1,200871981,200872981,+
INAVA,chr1,200890048,200891048,+
MYOG,chr1,203086012,203087012,-
NFASC,chr1,204827651,204828651,+
CNTN2,chr1,205041937,205042937,+
FAM72A,chr1,206204414,206205414,-
C1orf147,chr1,206497728,206498728,-
FCAMR,chr1,206970625,206971625,-
SYT14,chr1,209899923,209900923,+
SERTAD4,chr1,210231796,210232796,+
NEK2,chr1,211675630,211676630,-
DTL,chr1,212034553,212035553,+
PROX1-AS1,chr1,213988508,213989508,-
CENPF,chr1,214602195,214603195,+
ESRRG,chr1,217137755,217138755,-
LINC02869,chr1,218458265,218459265,+
LINC01705,chr1,222064773,222065773,-
CAPN8,chr1,223665723,223666723,-
FMN2,chr1,240013348,240014348,+
RGS7,chr1,241357374,241358374,-
KMO,chr1,241531134,241532134,+
WDR64,chr1,241651278,241652278,+
EXO1,chr1,241846967,241847967,+
PLD5,chr1,242524697,242525697,-
OR2C3,chr1,247536440,247537440,-
RNU6-1205P,chr1,248912795,248913795,-
PXDN,chr2,1744852,1745852,-
MYT1L,chr2,2331664,2332664,-
LINC01304,chr2,3974124,3975124,-
SOX11,chr2,5691384,5692384,+
NRIR,chr2,6840464,6841464,-
CMPK2,chr2,6866635,6867635,-
RSAD2,chr2,6864557,6865557,+
RRM2,chr2,10119698,10120698,+
LRATD1,chr2,14631700,14632700,+
GEN1,chr2,17752858,17753858,+
CENPA,chr2,26763289,26764289,+
CAPN14,chr2,31233858,31234858,-
MYADML,chr2,33728207,33729207,-
EIF2AK2,chr2,37157522,37158522,-
SLC8A1,chr2,40611053,40612053,-
